RV§1|no action — descriptive/constraint|Ecosystem map: PostgreSQL+RuVector owns bytes, records, vectors, graphs, policies, tasks, branches, cognition, promotion, recovery; ruvnet crates supply Rust/PostgreSQL/NAPI/WASM/model/agent/RVF surfaces; FlexNetOS supplies front door, typed ingress, buffering, security, coordination, controlled execution.|other|none|TBD
RV§2|Pin repositories to exact 2026-07-19 revisions|Build from the exact pinned revisions: RuVector main 6a6c39e662a4c3184dcb913db91a09401c84b2ae, agentdb 04968e3fba3bf01ef4e9978d0446485452365a86, ruflo 12ede21767a6dd669df1b79392a5d27d9154f237, lifeos 3d741436, envctl 48368a97, weave b0ccd227, network-control 5341ea00, flexnetos_runner e6ccf713, rusty-idd 4c47c67f, nu_plugin 63d68743, rtk-tokenkill develop 44cf84e7, icm 03d63a91, yazelix 01790ae2, meta afc146fb, upstream rtk f9d8c775, redb reference fe014115.|nix-release-gate|none|git rev-parse of each checkout matches the pinned SHA
RV§2|Pin Rust integration-plane crate versions|envctl lifecycle carries PostgreSQL 17.10, server SQL lineage 0.3.0, ruvector-postgres integration coordinate 2.0.5 (repo manifest crate coordinate 2.0.1). The Rust plane pins ruvector-core 2.3.0, ruvector-graph 2.3.0, ruvllm 2.3.0, ruvector-sona 0.2.1, rvf-runtime 0.3.0, rvf-types 0.2.1, and RVF index/quant/crypto 0.2.0.|nix-release-gate|postgres-ruvector-store,envctl-committer-security|Cargo.lock/cargo tree version audit against pinned coordinates
RV§2|Pin npm @ruvector binding versions|Pin npm ruvector 0.1.2, @ruvector/core 0.1.31 (native platforms 0.1.29), @ruvector/wasm 0.1.31, @ruvector/router 0.1.30, @ruvector/gnn 0.1.25, @ruvector/attention 0.1.4 (attention WASM 0.1.32), @ruvector/ruvllm 2.6.1 (native NAPI 2.0.1, WASM 2.0.2), @ruvector/sona 0.1.8 (native 0.1.5), @ruvector/rvf 0.3.0, @ruvector/postgres-cli 0.2.9; Ruflo's JavaScript plane consumes @ruvector/ruvllm 2.6.1-family packages.|ruvllm-agentdb-rvf-integration|nix-release-gate,ruflo-ruvltra-atas|lockfile/package.json audit against pinned versions
RV§2|Verify distribution planes converge on shared state|The Rust, NAPI/WASM/TypeScript, and PostgreSQL distribution planes must converge on the same PostgreSQL/RuVector schemas, byte identities, RVF records, and witness chains.|byte-capture-reconciliation|postgres-ruvector-store,witness-chain|cross-plane schema/digest comparison test
RV§2|Build rtk_nu raw-byte adapter|rtk 0.43.0 at pinned fork develop revision 44cf84e7 contains no rtk_nu binary, and the meta repo has no components/rtk_nu implementation; rtk_nu is the required, separately packaged raw-byte tee and JSONL/Nuon adapter defined by §3.4 and is a release-blocking FlexNetOS addition.|rtk-rtk-nu-envelope|codedb-ingress|rtk_nu binary builds and satisfies the §3.4 raw-byte envelope contract
RV§2|Import and build all 196 root workspace members|The pinned RuVector root manifest declares 196 member entries (195 unique paths); every member (crates, examples, ruvix, rvAgent, data, etc.) is built, tested, and captured byte-complete as part of the installed architecture.|nix-release-gate|byte-capture-reconciliation|cargo metadata member count matches declared inventory
RV§2|Import 137 additional Cargo manifest directories|Beyond root members, 137 tracked Cargo manifest directories complete the inventory (agentic-robotics 6, other crates 17, RuVix 12, RVF 25, RVM 17, support/test/patch 4, other examples 15, data 5, exo-ai-2025 21, ruvLLM examples 3, vibecast-7sense 12); each is independently addressable in the component table and part of byte-complete build, test, provenance, and release capture.|byte-capture-reconciliation|nix-release-gate|manifest-directory count audit against the enumerated list
RV§2|Import detached packages and external submodules|Detached first-class packages remain installed (ospipe 0.1.0, rvf-examples 0.1.0, micro-hnsw-wasm 2.3.2, ruvllm-esp32 0.3.0, ruvllm-esp32-flash 0.2.0, ruvector-edge-net 0.1.0, ruvector-data-framework 0.3.0, rvf-desktop 2.0.0, sonic_ct 0.1.0, complete RVF workspace, MCP brain server, others); external/ruqu and external/rvdna submodules are imported with their commit/tree bytes and their separate toolchains/artifacts bound into the same release manifest.|nix-release-gate|byte-capture-reconciliation|release manifest lists detached artifacts and submodule commit bytes
RV§2|Configure Rust toolchain minimums per workspace|The RuVector root toolchain requires Rust minimum 1.77; the detached RVF workspace requires Rust minimum 1.87.|nix-release-gate|none|rustc --version per workspace meets minimum
RV§2|Run release-gate executables and retain receipts|The benchmark, correctness, chaos, replay, proof, SOTA ANN, vector-search, hybrid, graph, MinCut, attention, SONA, quantization, temporal-attractor, robotics, hardware, and verified-application packages are release-gate executables; their source bytes, datasets, parameters, outputs, measurements, and receipts are imported and retained under the same contract as production crates.|nix-release-gate|postgres-ruvector-store,byte-capture-reconciliation|receipts present in the database for each gate executable
