occurrence_id,source_scope,source_path,line,column,keyword,classification,capability_ids,work_order_refs,reference_refs,classification_reason,source_text
LANG-0001,reference-package,execution-framework/docs/AGENT_APPROVAL_GATE.md,28,23,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- The approval record must include `task_id`, `reviewer`, `model`, `decision`, `reviewed_at`, `review_artifact`, `summary`, and `evidence`."
LANG-0002,reference-package,execution-framework/docs/AGENT_APPROVAL_GATE.md,29,49,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- The `review_artifact` and every evidence path must exist under `reviews/`, `approvals/`, or `proof_records/`."
LANG-0003,reference-package,execution-framework/docs/AGENT_APPROVAL_GATE.md,31,48,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- A matching `APPROVAL-<TASK_ID>` proof record must exist with `status=completed`, `actor=agent-approval-gate`, matching reviewer/model/decision, evidence for both approval and review artifacts, and checksum bindings for both files."
LANG-0004,reference-package,execution-framework/docs/AGENT_APPROVAL_GATE.md,32,33,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,- Approval and review artifacts must be present in Git's index before `goal_loop.py` dispatches the formerly human-gated packet.
LANG-0005,reference-package,execution-framework/docs/AGENT_APPROVAL_GATE.md,42,48,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"6. If the reviewer denies approval, the denial must include proof and exact change instructions."
LANG-0006,reference-package,execution-framework/docs/EXECUTION_FRAMEWORK_INSTALL.md,25,93,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Existing package files remain source-of-truth. This framework is an orchestration layer and must only add or explicitly version new execution material.
LANG-0007,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,45,22,must,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Background helpers must not read or write paths that match blocked_paths.
LANG-0008,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,46,22,may,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Background helpers may read and write only paths that match allowed_paths and do not match blocked_paths.
LANG-0009,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,47,81,must,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","- ENVCTL_REPO and NU_PLUGIN_REPO are operator-provided roots; if unset, helpers must treat those lanes as unavailable."
LANG-0010,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,48,25,must,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Helper scratch writes must use execution-framework/state/helpers/${HELPER_ID}/ unless the task packet names a narrower output path.
