gate_id,work_order_id,correlation_id,must_read,may_update,must_update_on_change,validation_gates,safety_constraints,local_status,source
GATE-CDB000,TASK-CDB000,CDB000,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/NAVIGATION.json;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/CHECKLIST_COMPLETION.md;src/nu_plugin/BACKLOG.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,all P0 docs listed,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":2,""path"":""execution/TASK_FILE_MAP.csv"",""record"":1,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB001,TASK-CDB001,CDB001,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/NAVIGATION.md;src/nu_plugin/NAVIGATION.json;src/nu_plugin/DOC_GRAPH.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,links validate,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":3,""path"":""execution/TASK_FILE_MAP.csv"",""record"":2,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB002,TASK-CDB002,CDB002,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/READINESS_GATE.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/DRIFT_GUARD.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,gate checklist covers task/prd/log/secret,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":4,""path"":""execution/TASK_FILE_MAP.csv"",""record"":3,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB003,TASK-CDB003,CDB003,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/execution/TASK_FILE_MAP.csv,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,CSV parses and task IDs unique,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":5,""path"":""execution/TASK_FILE_MAP.csv"",""record"":4,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB004,TASK-CDB004,CDB004,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,CSV parses with expected header,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":6,""path"":""execution/TASK_FILE_MAP.csv"",""record"":5,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB005,TASK-CDB005,CDB005,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256;src/nu_plugin/manifests/LINK_CHECK_REPORT.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,checksums match files and links pass,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":7,""path"":""execution/TASK_FILE_MAP.csv"",""record"":6,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB006,TASK-CDB006,CDB006,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/ARCHITECTURE.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,covers crates/data flow/runtime modes,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":8,""path"":""execution/TASK_FILE_MAP.csv"",""record"":7,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB007,TASK-CDB007,CDB007,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/SCHEMA.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,table groups and IDs defined,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":9,""path"":""execution/TASK_FILE_MAP.csv"",""record"":8,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB008,TASK-CDB008,CDB008,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/COMMANDS.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,CLI/Nu/MCP commands documented,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":10,""path"":""execution/TASK_FILE_MAP.csv"",""record"":9,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB009,TASK-CDB009,CDB009,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/INTEGRATION_CONTRACTS.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,Codex/Yazelix/meta/envctl/runner covered,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":11,""path"":""execution/TASK_FILE_MAP.csv"",""record"":10,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
