capability_id,title,requirement,source_refs,source_wording,mandatory_requirement,verification_gate,coverage_work_order_refs,coverage_reference_refs,coverage_boundary,planning_evidence,local_status,product_complete
CAP-MIG-001,Structured human involvement modes,mandatory,reference-package:prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md:L5-L5;reference-package:source/current-user-request.md:L5-L5,"[""Your mission is to upgrade the local `envctl` database tooling and the connected `nu_plugin` repository so migration execution becomes a built-in, reproducible, agent-controllable database capability with live human visuals and optional human involvement."",""Goal: envctl database should provide built-in migration database tooling controllable by CLI agents. Human users should have live visuals and may choose active involvement or passive supervision. envctl database must be able to reproduce the migration operation anytime, making the migration design faster, more secure, more accurate, and repeatable. The package must be additive to current Codex prompts intended for envctl and nu_plugin GitHub issues.""]","Model observer, approval-gated, operator, and agent-only as structured modes with explicit authority and transition rules.",Schema and behavior tests must cover all four modes and prove that mode changes cannot bypass approval or risk policy.,TASK-CDB030;TASK-CDB075;TASK-CDB089,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-002,Required runtime inputs and resolved-path receipts,mandatory,reference-package:prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md:L7-L19;reference-package:RUN_WITH_CODEX_ENVCTL.sh:L16-L18,"[""## Input variables\n\nThe runner may provide:\n\n```text\nRUN_CONTEXT_FILE=<path>\nPROMPT_PACKAGE_DIR=<path>\nENVCTL_REPO=<path>\nNU_PLUGIN_REPO=<path>\nFLEXNETOS_PACKAGE=<path>\n```\n\nRead the run context first. Resolve all paths with `realpath` and record the resolved paths in a working note inside the envctl repo."",""Optional:\n  --flexnetos-package Path to prior codex-flexnetos-migration-prompt-package.\n  --codex-bin         Codex executable name/path. Default: codex.""]","Require the run-context, package, envctl, nu_plugin, and target inputs applicable to a run; resolve each path and persist a resolved-path receipt.","Missing required inputs, unresolved paths, and path/receipt mismatches must fail closed before planning or execution.",TASK-CDB000;TASK-CDB036;TASK-CDB039,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-003,Generic target descriptor and recipe,mandatory,reference-package:prompts/UTILIZE_FLEXNETOS_PACKAGE.md:L67-L75,"[""## Genericization requirement\n\nDo not bake FlexNetOS into envctl. FlexNetOS should be one target descriptor and one package fixture. The same envctl machinery must run against any target with:\n\n- descriptor\n- recipe\n- artifact contract\n- safety policy\n- scanner capability map""]","Drive every target through a descriptor, recipe, artifact contract, safety policy, scanner capability map, and output policy without target-specific execution branches.",A non-FlexNetOS fixture must traverse the same planner and packet path without conditional target-name logic.,TASK-CDB035;TASK-CDB036;TASK-CDB091;TASK-CDB092;TASK-CDB093;TASK-CDB094;TASK-CDB095;TASK-CDB096;TASK-CDB097;TASK-CDB098;TASK-CDB099;TASK-CDB100;TASK-CDB101;TASK-CDB102;TASK-CDB103;TASK-CDB104;TASK-CDB105,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-004,Canonical replay modes,mandatory,reference-package:prompts/DATABASE_FEATURE_SPEC.md:L101-L101;reference-package:prompts/SECURITY_REPRODUCIBILITY_MODEL.md:L32-L39,"[""Replay may be `verify-only`, `dry-run-plan`, or `execute-again`. Destructive replay requires explicit approval."",""## Replay modes\n\n| Mode | Behavior |\n|---|---|\n| `verify-only` | Recompute hashes and confirm artifacts/evidence still match. |\n| `dry-run-plan` | Reconstruct operation plan without executing target-affecting commands. |\n| `execute-safe` | Re-run R0-R2 operations. |\n| `execute-full` | Requires explicit approval for R3+. |""]","Reconcile replay terminology to verify-only, dry-run-plan, execute-safe, and approval-gated-full with explicit destructive-operation approval.","Protocol and CLI tests must accept only the canonical modes, map legacy wording explicitly, and prove full replay remains approval gated.",TASK-CDB072;TASK-CDB073;TASK-CDB074;TASK-CDB075;TASK-CDB076;TASK-CDB087;TASK-CDB088;TASK-CDB089;TASK-CDB090;TASK-CDB102,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-005,Actor authority and R0-R5 policy,mandatory,reference-package:prompts/DATABASE_FEATURE_SPEC.md:L103-L105;reference-package:prompts/AGENT_CONTROL_PROTOCOL.md:L7-L38,"[""## Agent control\n\nAgents may create plans, execute safe read-only operations, synthesize artifacts, run validations, and request approvals. Agents may not silently perform destructive operations, mutate production targets, or bypass safety policy."",""## Actors\n\n```text\nsystem      envctl internal scheduler/runner\nagent       Codex or other automation agent\nhuman       shell user/operator\nplugin      nu_plugin session acting on behalf of a human\nexternal    imported package/helper process\n```\n\n## Authority levels\n\n```text\nread_only          can inspect targets, events, artifacts, and plans\nsafe_execute       can run read-only scanners and artifact generation\napproval_request  can request approval for risky operations\noperator           can approve, deny, pause, resume, or rollback\nadmin              can alter policies/contracts/schemas\n```\n\n## Operation risk classes\n\n```text\nR0 read-only inspection\nR1 writes only to envctl artifact/evidence store\nR2 modifies local working copy artifacts\nR3 modifies target repository code/config\nR4 modifies databases/infrastructure/secrets\nR5 destructive or production-impacting operation\n```\n\nR3+ requires explicit approval unless policy has a pre-approved scoped rule. R4/R5 must default to approval-gated.""]","Represent actors, authority levels, and R0-R5 risk classes as structured policy data enforced at every operation boundary.",Authorization tests must prove each actor/authority combination and require explicit approval for R3+ with fail-closed R4/R5 defaults.,TASK-CDB010;TASK-CDB033;TASK-CDB034;TASK-CDB075;TASK-CDB089;TASK-CDB104,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-006,Required plugin operational views,mandatory,reference-package:prompts/NU_PLUGIN_CONTRACT.md:L69-L82,"[""## Live visuals\n\nThe plugin should support:\n\n- status tables\n- timelines\n- operation queue views\n- approval queue views\n- artifact index views\n- graph edge views\n- validation scorecards\n- replay plan summaries\n\nVisuals must degrade gracefully in plain terminal mode.""]","Provide status, timeline, operations, approvals, artifacts, graph, validation, and replay views with a plain-terminal fallback.",Contract tests must exercise every view against authoritative records and verify graceful structured output without rich-terminal support.,TASK-CDB029;TASK-CDB030;TASK-CDB031;TASK-CDB032;TASK-CDB103,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-007,Conflict scope and operation leases,mandatory,reference-package:prompts/AGENT_CONTROL_PROTOCOL.md:L47-L54,"[""\n```text\nrun_id + operation_type + target_descriptor_hash + recipe_step_id + input_hash\n```\n\n## Concurrency\n\nMultiple agents may work in parallel only if operations have non-conflicting target scopes or the database obtains a lease/lock. Locks must be visible in live status.""]","Define operation conflict scopes and enforce atomic leases with owner, acquisition, expiry, renewal, release, and live visibility semantics.","Concurrency tests must reject conflicting operations, permit non-conflicting scopes, handle expiry/renewal atomically, and expose the active owner.",TASK-CDB016;TASK-CDB061,,Task-level lease primitives exist in this handoff; the required operation-level lease model remains a companion review gap and is not product-complete.,control/lease_registry.json;import-nu-plugin-task-tables.mjs#acquireTaskLease,review,false
CAP-MIG-008,Source-bound projections,mandatory,reference-package:prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md:L28-L30,"[""## Visual correctness rule\n\nThe plugin may format and summarize, but every visual must derive from envctl database records. No plugin-only inferred state should be treated as truth.""]",Every projection must carry authoritative source identifiers and digests; inferred display state must never become migration truth.,Projection tests must trace every row to source IDs/hashes and reject rows lacking an authoritative record.,TASK-CDB018;TASK-CDB035;TASK-CDB055;TASK-CDB063;TASK-CDB085;TASK-CDB089,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
CAP-MIG-009,Required rich visual surfaces,mandatory,reference-package:prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md:L45-L51;task-tables:raw/REQUIREMENT_PROOF_LEDGER.csv:L97-L97,"[""## Optional richer visuals\n\n- Mermaid graph export.\n- DOT graph export.\n- TUI dashboard if existing repo supports it.\n- Streaming event subscription if existing architecture supports it.\n- Static HTML/wiki export if existing artifact tooling supports it."",""REQ-061-ARCH11,REQ-061,Expose agent-first roots refs refactor hooks widgets and optional gated TUI,https://github.com/FlexNetOS/envctl/issues/414,Architecture section 9,../envctl/crates/engine/**,../envctl/crates/engine/tests/**,cargo test --manifest-path ../envctl/Cargo.toml --workspace,stdout:req-061-arch11-stdout;stderr:req-061-arch11-stderr,,verified,complete,\""Schema-4 detached proof binds this exact command to pinned FlexNetOS/envctl b62669c4e32c8de0407aa51ca3add94d529b50b6 and pinned loop_lib/meta_plugin_protocol dependencies; execution must pass without mutating any checkout.\""""]","Provide Mermaid, Graphviz DOT, TUI dashboard, live event stream, static HTML, and static wiki projections as required surfaces.","All six projections must be deterministic, receipted, canonical-record-derived, and coverage-equivalent for task and status identity.",TASK-CDB001;TASK-CDB030;TASK-CDB103,nu-plugin-requirement:REQ-061-ARCH11,All six surfaces are implemented as deterministic planning projections; runtime product wiring and acceptance remain review-gated.,visuals/task_graph.mmd;visuals/task_graph.dot;visuals/dashboard.txt;visuals/event_stream.ndjson;visuals/task_graph.html;visuals/task_graph.wiki.md,review,false
CAP-MIG-010,Nullable compare-root state,mandatory,reference-package:prompts/ANY_TARGET_EXTENSION_SPEC.md:L7-L13,"[""```yaml\nschema_version: 1\ntarget_id: stable-human-readable-id\ntarget_type: codebase | data | infrastructure | integration | mixed\nprimary_root: /absolute/or/repo-relative/path\ncompare_root: /optional/path\noutput_root: migration-artifacts""]","Represent compare_root as nullable with explicit absent, resolved, and path-receipt state rather than an invented path.","Descriptor tests must distinguish absent from resolved values and reject unresolved, unreceipted, or escaped compare roots.",TASK-CDB036;TASK-CDB070;TASK-CDB091,,Planning coverage is mapped; product implementation and verification remain review-gated.,,review,false
