record_id,correlation_id,work_order_id,timestamp_utc,source_cwd,workspace_cwd,source_repo,command,output_paths,exit_code,redaction,notes,executable,source
COMMAND-001,CDB064,TASK-CDB064,2026-07-02T01:02:12.731033+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,verify source ZIP extraction gate,src/nu_plugin/manifests/EXTRACTION_PROOF.json;src/nu_plugin/logs/CDB064-extraction-proof.log,0,no raw secrets recorded,Confirmed extracted files exist before package construction.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":2,""path"":""execution/COMMAND_LEDGER.csv"",""record"":1,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-002,CDB006,TASK-CDB006,2026-07-02T01:02:12.749276+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB006,src/nu_plugin/docs/ARCHITECTURE.md;src/nu_plugin/logs/CDB006-architecture.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":3,""path"":""execution/COMMAND_LEDGER.csv"",""record"":2,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-003,CDB007,TASK-CDB007,2026-07-02T01:02:12.751294+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB007,src/nu_plugin/docs/SCHEMA.md;src/nu_plugin/logs/CDB007-schema.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":4,""path"":""execution/COMMAND_LEDGER.csv"",""record"":3,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-004,CDB008,TASK-CDB008,2026-07-02T01:02:12.753719+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB008,src/nu_plugin/docs/COMMANDS.md;src/nu_plugin/logs/CDB008-commands.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":5,""path"":""execution/COMMAND_LEDGER.csv"",""record"":4,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-005,CDB009,TASK-CDB009,2026-07-02T01:02:12.755401+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB009,src/nu_plugin/docs/INTEGRATION_CONTRACTS.md;src/nu_plugin/logs/CDB009-integration.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":6,""path"":""execution/COMMAND_LEDGER.csv"",""record"":5,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-006,CDB010,TASK-CDB010,2026-07-02T01:02:12.756935+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB010,src/nu_plugin/docs/SECURITY_AND_SECRET_POLICY.md;src/nu_plugin/docs/UNSAFE_CAPTURE_POLICY.md;src/nu_plugin/logs/CDB010-security.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":7,""path"":""execution/COMMAND_LEDGER.csv"",""record"":6,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-007,CDB011,TASK-CDB011,2026-07-02T01:02:12.758573+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB011,src/nu_plugin/docs/CODEX_BRIDGE.md;src/nu_plugin/docs/NUSHELL_PLUGIN_COMPAT.md;src/nu_plugin/docs/YAZELIX_PLACEMENT.md;src/nu_plugin/logs/CDB011-bridge.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":8,""path"":""execution/COMMAND_LEDGER.csv"",""record"":7,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-008,CDB012,TASK-CDB012,2026-07-02T01:02:12.760471+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create documentation artifacts for CDB012,src/nu_plugin/docs/TEST_PLAN.md;src/nu_plugin/docs/FIXTURE_MATRIX.md;src/nu_plugin/logs/CDB012-tests-docs.log,0,no raw secrets recorded,Generated execution-package documentation from canonical PRD.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":9,""path"":""execution/COMMAND_LEDGER.csv"",""record"":8,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-009,CDB065,TASK-CDB065,2026-07-02T01:02:12.780652+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,augment TASK_GRAPH.csv and create TASK_GRAPH.md,src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/execution/TASK_GRAPH.md;src/nu_plugin/logs/CDB065-task-graph-final.log,0,no raw secrets recorded,"Added required controlled-execution columns, CDB064-CDB067, and Markdown projection.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":10,""path"":""execution/COMMAND_LEDGER.csv"",""record"":9,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-010,CDB066,TASK-CDB066,2026-07-02T01:02:12.786455+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,create checklist completion evidence map,src/nu_plugin/CHECKLIST_COMPLETION.md;src/nu_plugin/manifests/CHECKLIST_COMPLETION.json;src/nu_plugin/logs/CDB066-checklist-completion.log,0,no raw secrets recorded,Mapped every checklist checkbox to a completed artifact or controlled task-graph gate.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":11,""path"":""execution/COMMAND_LEDGER.csv"",""record"":10,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-011,CDB067,TASK-CDB067,2026-07-02T01:02:13.053614+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,validate and seal final execution package,src/nu_plugin/manifests/PACKAGE_VALIDATION.json;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256;src/nu_plugin/logs/CDB067-final-validation.log,0,no raw secrets recorded,"Validated links, task graph DAG, checklist mapping, checksums, required files, and secret hygiene.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":12,""path"":""execution/COMMAND_LEDGER.csv"",""record"":11,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-012,CDB067,TASK-CDB067,2026-07-02T01:02:55.125146+00:00,/mnt/data/nu_plugin_codedb_build_workspace/extracted/nu_plugin_codedb_execution_pack_v1_1,src/nu_plugin,nu_plugin_codedb_execution_pack_v1_1,final reseal after ledger/worklog/log updates,src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256;src/nu_plugin/manifests/PACKAGE_VALIDATION.json,0,no raw secrets recorded,Recomputed manifest/checksums after all mutable evidence files were finalized.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":13,""path"":""execution/COMMAND_LEDGER.csv"",""record"":12,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
COMMAND-013,CDB068,TASK-CDB068,2026-07-02T01:44:15Z,/mnt/data/nu_plugin_codedb_final_execution_package_csv_sot_repaired,src/nu_plugin,nu_plugin_codedb_final_execution_package,repair TASK_GRAPH.csv source-of-truth path linkage from csv_doc_link_audit.md,src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/execution/TASK_GRAPH.md;src/nu_plugin/execution/TASK_FILE_MAP.csv;src/nu_plugin/manifests/CSV_SOURCE_OF_TRUTH_REPAIR.json;src/nu_plugin/logs/CDB000-package-init.log;src/nu_plugin/logs/CDB001-navigation.log;src/nu_plugin/logs/CDB002-gates.log;src/nu_plugin/logs/CDB003-task-graph.log;src/nu_plugin/logs/CDB004-ledger.log;src/nu_plugin/logs/CDB005-manifest.log;src/nu_plugin/logs/CDB068-csv-source-of-truth-repair.log,0,no raw secrets recorded,Surgical CSV/package repair; no Rust implementation rows marked complete.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":14,""path"":""execution/COMMAND_LEDGER.csv"",""record"":13,""sha256"":""e230d1c64568e8642429f7198e97fd22c86025bdc3f14f694a9e7e784e405991""}"
