"anchor_requirement_id","anchor_refs","requirement","canonical_authority","task_ids","implementation_state","proof_state","conflict_ids","final_resolution"
"ANCHOR-REQ-001","ARCHANCHOR-001 hard rules 1-12 and section 2; ARCHANCHOR-002 sections 1-2","PostgreSQL/RuVector contains host ALL data, preserves original bytes beside every derived form, and becomes the Swarm Primary Runtime.","STORE-001; PGAUTH-001; POSTGRES-001","STORE-001; POSTGRES-002; POSTGRES-003; POSTGRES-004; POSTGRES-005; ARCHBP-038; ARCHBP-048","desired-target; not cut over","STORE-001 decision proven; full import and cutover unproven","","Keep the owner decision complete while implementation remains gated by byte-complete import, recovery, and cutover proof."
"ANCHOR-REQ-002","ARCHANCHOR-001 sections 3.1-3.2 and diagrams D03-D06; ARCHANCHOR-002 sections 3-4","LifeOS Glass embeds the real profile-owned Yazelix/Zellij Engine through a PTY with ordered byte channels and database-derived session identity.","Current Vue/Tauri AGENTS; Yazelix profile frontdoor contract","ARCHBP-018; ARCHBP-043","planned; current LifeOS has no embedded PTY","unproven","ANCHOR-CONFLICT-001","Implement the framework-independent Glass/Engine contract in Vue 3 plus Tauri 2; Svelte wording is superseded."
"ANCHOR-REQ-003","ARCHANCHOR-001 diagrams D05-D12; ARCHANCHOR-002 sections 3-6","Logical user/Codex/rtk_nu/redb/Nu/Yazelix/CodeDB/database lineage and physically executable terminal, control, legacy, native, live, commit, and return paths remain distinct and convergent.","Anchor topology plus checked Nu child-plugin process","ARCHBP-040; ARCHBP-041; ARCHBP-042; ARCHBP-043; ARCHBP-047","partially planned; adapters and return paths absent","unproven","ANCHOR-CONFLICT-003; ANCHOR-CONFLICT-006; ANCHOR-CONFLICT-007","Preserve the logical trace as lineage and prove each physical path independently without impossible process ordering."
"ANCHOR-REQ-004","ARCHANCHOR-001 sections 3.4, 4.4, 19; ARCHANCHOR-002 sections 3-6","rtk_nu tees byte-exact ordered streams before transforms and emits versioned JSONL/JSON/Nuon envelopes; native Nu bypasses it.","Raw-byte lineage contract","NBVERIFY-030-032; ARCHBP-040","required component absent","unproven","ANCHOR-CONFLICT-007","Build and pin the adapter; do not mislabel rtk itself or native Nu."
"ANCHOR-REQ-005","ARCHANCHOR-001 sections 4.5, 14, 17; diagrams D09/D13; ARCHANCHOR-002 section 5","CodeDB/nu_plugin accepts typed envelopes, verifies and assigns canonical raw-object identities, preserves MessagePack as transport only, and supplies byte-complete ingress/query.","CodeDB integration and exact-byte contracts","ARCHBP-001; ARCHBP-041","existing scanners/stores are partial; ingest-envelope absent","partial proof for exact storage; new command unproven","","Extend the proven storage/parity capability without creating a duplicate implementation."
"ANCHOR-REQ-006","ARCHANCHOR-001 sections 3.3, 4.6, 12; diagrams D10/D14; ARCHANCHOR-002 section 7","One redb owner holds the writable handle, buffers transient state, publishes atomic checksummed read-only mmap generations, emits ordered UDS events, and replays crashes without byte loss.","STORE-001 transient-tier decision","PGAUTH-002; ARCHBP-002; ARCHBP-039","target owner/projection service absent","redb storage proven; owner/mmap/replay unproven","ANCHOR-CONFLICT-003; ANCHOR-CONFLICT-005","Use an owner-published projection rather than mapping the database file; benchmark latency instead of assuming it."
"ANCHOR-REQ-007","ARCHANCHOR-001 sections 3.2, 4.7, 13; diagrams D11-D12; ARCHANCHOR-002 section 8","envctl exclusively commits production PostgreSQL transactions, attaches LSN/generation/witness receipts, and projects controlled database state back to physical surfaces.","STORE-001 and envctl bridge boundary","ARCHBP-002; ARCHBP-042","complete loop absent","unproven","ANCHOR-CONFLICT-006","Keep current capabilities as inputs; implement and privilege-test the missing durable round trip."
"ANCHOR-REQ-008","ARCHANCHOR-001 sections 4.10, 7-11; diagrams D16-D18; ARCHANCHOR-002 sections 10-11","AgentDB/RVF owns per-agent cognition; ruvllm, SONA, MicroLoRA, FastGRNN, Ruflo, RuvLTRA, ATAS, graph/GNN/MinCut, and witnesses operate under database promotion gates.","PGAUTH-003; STORE-001","ARCHBP-007; ARCHBP-008; ARCHBP-009; ARCHBP-010; ARCHBP-011; ARCHBP-012; ARCHBP-013; ARCHBP-014; ARCHBP-015; ARCHBP-016; ARCHBP-017","component pieces vary; complete integrated runtime absent","mostly planned/unproven","ANCHOR-CONFLICT-012","Retain every capability as mandatory task scope while refusing absolute or integrated-system claims without proof."
"ANCHOR-REQ-009","ARCHANCHOR-001 diagrams D15/D17 and sections 5-6; ARCHANCHOR-002 section 10","Semantic SQL, COW branches, graph/causal analysis, witness chains, MinCut, tests, and approval govern changes and rollback.","CodeDB safe-mutation and proof contracts","ARCHBP-004; ARCHBP-005; ARCHBP-015; ARCHBP-016; ARCHBP-017; ARCHBP-047","filesystem safety substrate partial; database-native chain absent","partial","ANCHOR-CONFLICT-002; ANCHOR-CONFLICT-012","Database discovery cannot bypass approval, isolation, Git review, proof, or promotion gates."
"ANCHOR-REQ-010","ARCHANCHOR-001 section 5 and diagram D20; ARCHANCHOR-002 section 9","Secret Engine, Broker, Mint, Seed Vault, Cognitum Seed, and Relay preserve encrypted custody bytes, leases, rotation, revocation, and audit without broad plaintext capture.","Security contracts and all-durable-data decision","INTEL-003; ARCHBP-032; ARCHBP-044","current keyring/env lookup only; full custody target absent","unproven","ANCHOR-CONFLICT-008","Migrate only through synthetic-tested, owner-approved cutover; never expose real plaintext in planning or proof."
"ANCHOR-REQ-011","ARCHANCHOR-001 diagram D21 and sections 4.8, 20; ARCHANCHOR-002 section 12","Git, GitKB, Meta, beads/br, ICM, weave, network-control, rusty-idd, and runners remain active projections/executors whose full records round-trip to PostgreSQL.","Meta peer ownership; database operational doctrine","STRUCTURE-005; LPS-023; ARCHBP-022; ARCHBP-028; ARCHBP-046","external surfaces active; database control not implemented","unproven","ANCHOR-CONFLICT-011","Preserve independent repos and physical tools; move operational ownership and complete evidence into PostgreSQL only after proof."
