consolidate-lifeos-handoff-into-planning-spine	completed	Consolidate LifeOS handoff into Planning Spine
finish-lifeos-github-integration	completed	Finish LifeOS GitHub integration
register-envctl-peer-and-refresh-envctl-kb	completed	Register envctl peer and refresh envctl KB
register-teri-peer-with-meta	completed	Register teri peer with meta
tasks/agent-score-hook-log-guard-effectiveness	completed	Implement guard effectiveness scoring from hook logs
tasks/architecture-rtk-nu-adapter	completed	Implement byte-exact rtk_nu adapter
tasks/loop-lib-sequential-spawn-error-handling	completed	Return errors instead of panicking in loop_lib sequential spawn path
tasks/meta-agent-architecture-codex-integration	completed	Deep dive agent architecture and .codex integration
tasks/meta-child-ci-synthesized-workspace-version-drift	completed	Align child CI synthesized workspace versions
tasks/meta-claude-gitkb-command-hook-drift	completed	Align Claude GitKB command and daemon hook docs
tasks/meta-clean-foundation-build-order	completed	Build meta from clean upstream foundation
tasks/meta-clear-stale-codex-hook-trust-state	completed	Clear stale Codex hook trust state for removed meta hooks
tasks/meta-cli-claude-git-setup-ssh-drift	completed	Fix stale setup-ssh guidance in meta-git skill
tasks/meta-cli-claude-meta-exec-ordered-drift	completed	Fix stale --ordered guidance in meta-exec skill
tasks/meta-cli-claude-meta-plugins-command-discovery-drift	completed	Fix stale commands and plugin paths in meta-plugins skill
tasks/meta-cli-claude-meta-safety-ordered-drift	completed	Fix stale --ordered guidance in meta-safety skill
tasks/meta-code-intelligence-live-snapshot-2026-07-02	completed	Capture live GitKB code intelligence snapshot
tasks/meta-code-intelligence-rust-index-coverage	completed	Restore Rust coverage for GitKB code intelligence in meta workspace
tasks/meta-code-intelligence-unresolved-call-audit	completed	Audit GitKB code intelligence unresolved calls
tasks/meta-codex-gitkb-mcp-ownership	completed	Resolve Codex GitKB MCP ownership
tasks/meta-codex-plugin-source-cache-drift	completed	Reconcile Codex GitKB plugin source and installed cache
tasks/meta-command-surface-docs-reconciliation	completed	Reconcile docs with live command surface
tasks/meta-core-atomic-write-temp-collision	completed	Make meta_core atomic writes collision-safe
tasks/meta-design-codex-hook-parity	completed	Design Codex hook parity for GitKB and meta cleanup workflow
tasks/meta-docs-architecture-workspace-version-drift	completed	Update architecture overview workspace version snippet
tasks/meta-docs-plugin-discovery-location-drift	completed	Fix stale plugin discovery locations in docs
tasks/meta-extract-gitkb-docs-pages	completed	Extract gitkb.com docs pages into docs
tasks/meta-foundation-live-proof-gitkb-parity	completed	Prove Meta GitKB foundation from live evidence
tasks/meta-git-cli-help-include-only-drift	completed	Fix stale --include-only help in meta_git_cli
tasks/meta-git-lib-missing-project-update-drift	completed	Fix stale meta project update missing-repo hint
tasks/meta-git-setup-ssh-actual-remotes	completed	Include actual org SSH remotes in setup-ssh
tasks/meta-git-setup-ssh-restore	completed	Restore meta git setup-ssh command surface
tasks/meta-git-setup-ssh-root-remote	completed	Include meta root SSH remote in setup-ssh
tasks/meta-github-sync-state-policy	completed	Enforce GitHub sync state policy
tasks/meta-gitkb-bundle-archive-policy	completed	Define GitKB bundle archive and replay policy
tasks/meta-gitkb-cli-live-parity-suite	completed	Build live parity suite for GitKB CLI docs
tasks/meta-gitkb-cli-option-level-parity	completed	Verify every documented GitKB CLI option and flag
tasks/meta-gitkb-cli-reference-0212-refresh	completed	Refresh GitKB CLI reference for installed 0.2.12
tasks/meta-gitkb-code-intel-meta-proof-suite	completed	Prove GitKB code intelligence across meta repos
tasks/meta-gitkb-config-schema-policy	completed	Define GitKB config schema policy for meta
tasks/meta-gitkb-docs-command-config-extraction	completed	Extract GitKB docs commands and configs into implementation tasks
tasks/meta-gitkb-docs-gap-audit-2	completed	Repeat GitKB docs symbol walk and close task rail gaps
tasks/meta-gitkb-document-graph-view-policy	completed	Define GitKB document graph and view policy
tasks/meta-gitkb-mcp-parameter-schema-parity	completed	Verify every documented GitKB MCP parameter schema
tasks/meta-gitkb-mcp-tool-parity-suite	completed	Build live parity suite for GitKB MCP tool docs
tasks/meta-gitkb-recovery-safety-policy	completed	Define safe GitKB recovery and destructive-command policy
tasks/meta-gitkb-skill-inventory-adapter-parity	completed	Verify GitKB skill inventory and adapter symlink parity
tasks/meta-gitkb-skill-workspace-path-drift	completed	Align GitKB skills with .kb/workspaces path
tasks/meta-gitkb-sync-auth-remote-policy	completed	Define FlexNetOS GitKB sync auth and remote policy
tasks/meta-implement-unified-agent-plugin-control-plane	completed	Implement unified meta-owned agent plugin control plane
tasks/meta-initial-10-repeat-source-walk-2026-07-02	completed	Repeat source walk for initial 10 meta repos
tasks/meta-initial-10-repo-deep-walk	completed	Deep walk initial 10 meta repos
tasks/meta-initial-14-alignment-code-intel-prep-2026-07-02	completed	Repeat initial 14 alignment audit and prepare code intelligence
tasks/meta-initial-14-repeat-source-walk-hooks-2026-07-02	completed	Repeat source walk for initial 14 meta repos and hooks
tasks/meta-kb-agents-command-path-drift	completed	Align .kb/AGENTS.md with git-kb command and workspace path
tasks/meta-kb-workflow-peer-component-smoke-test	completed	Smoke Test GitKB Workflow Across Meta Peer Components
tasks/meta-lifeos-portable-agentic-os-release-roadmap	completed	Add LifeOS portable agentic OS release roadmap
tasks/meta-live-test-cli-loop-lib	completed	Live test meta CLI and loop_lib behavior
tasks/meta-local-ubuntu-release-runner	completed	Build local Ubuntu release through flexnetos_runner
tasks/meta-locate-codex-init-doc-extraction	completed	Locate extracted Codex doc for git-kb init codex
tasks/meta-lockfile-version-drift	completed	Resolve Cargo.lock drift from workspace version bump
tasks/meta-mcp-destructive-tool-guardrails	completed	Document and guard destructive meta_mcp tools
tasks/meta-org-migration-cleanup	completed	Clean legacy organization references
tasks/meta-peer-local-kb-bootstrap	completed	Bootstrap peer-local GitKB stores additively
tasks/meta-plugin-gitkb-harness-generation	completed	Generate GitKB harness adapters from meta-plugin
tasks/meta-plugin-kb-hooks-config-policy	completed	Model GitKB hook toggles as meta-plugin policy
tasks/meta-plugin-mcp-single-owner-policy	completed	Enforce single-owner MCP registration policy
tasks/meta-read-extracted-gitkb-docs-for-codex-wiring	completed	Read extracted GitKB docs before Codex wiring
tasks/meta-readme-command-plugin-discovery-drift	completed	Fix stale command and plugin discovery docs in README
tasks/meta-release-catalog-portable-tools	completed	Catalog portable release components
tasks/meta-release-workflow-meta-rust-artifact-drift	completed	Include meta-rust in release artifacts and generated Homebrew formula
tasks/meta-remove-invalid-codex-gitkb-hooks	completed	Remove invalid Codex GitKB hook command wiring
tasks/meta-resolve-peer-dirty-trees	completed	Resolve dirty-tree state across meta peer repos
tasks/meta-retest-cli-loop-after-transition	completed	Retest meta CLI and loop after FlexNetOS transition
tasks/meta-retire-stale-claude-kb-commands	completed	Retire stale Claude kb command wrappers
tasks/meta-root-claude-code-intelligence-command-drift	completed	Align root Claude code-intelligence docs with git-kb code commands
