task_id,parent_id,phase,title,goal,owner_lane,owner_agent,helper_id,model_tag,agent_runtime,shell_mode,repo_target,repo_path,filesystem_scope,input_files,target_files,target_artifacts,allowed_paths,blocked_paths,depends_on,blocks,parallel_group,can_run_parallel,max_parallel,start_after,priority,status,execution_cell,required_tools,command_template,verification_command,completion_gate,proof_required,proof_uri,heartbeat_file,logs_uri,rollback_plan,risk_level,human_approval_required,notes
REQ-050_DB_MODULE_SCAFFOLD,GH-414,05-envctl-db-upgrade,Scaffold engine db mutation modules,"Create crates/engine/src/{db,db_index,db_query,db_symbols,db_refactor,db_deploy}.rs and wire lib.rs exports without bypassing catalog seams",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-050_db_module_scaffold,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/catalog.rs|crates/engine/src/lib.rs,crates/engine/src/db.rs|crates/engine/src/db_index.rs|crates/engine/src/db_query.rs|crates/engine/src/db_symbols.rs|crates/engine/src/db_refactor.rs|crates/engine/src/db_deploy.rs|crates/engine/src/lib.rs,engine db module tree,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,,REQ-051_MULTI_ROOT_MODEL|REQ-052_FILE_INDEX,db_upgrade_foundation,true,2,,200,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-050_DB_MODULE_SCAFFOLD.json,cargo build -p envctl-engine,engine compiles with new db modules exported from lib.rs,true,execution-framework/proof_records/REQ-050_DB_MODULE_SCAFFOLD.proof.json,execution-framework/heartbeats/REQ-050_DB_MODULE_SCAFFOLD.heartbeat,execution-framework/logs/REQ-050_DB_MODULE_SCAFFOLD.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R1,false,Build into existing catalog seams (catalog.rs read-only snapshot); no CLI-only behavior.
REQ-051_MULTI_ROOT_MODEL,GH-414,05-envctl-db-upgrade,Multi-root target model (META_ROOT + LIFE_OS_ROOT),"Implement EnvRootKind/EnvRootRole/EnvRootRow, hold observed/declared/release-target roots + aliases simultaneously, normalize LIFEOS_ROOT->LIFE_OS_ROOT, add catalog root rows, update CLI help to Meta/LifeOS release-target manager",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-051_multi_root_model,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/catalog.rs|README.md|crates/cli/src/main.rs,crates/engine/src/db.rs|crates/cli/src/main.rs,EnvRootRow catalog rows|updated CLI help,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-050_DB_MODULE_SCAFFOLD,REQ-054_QUERY_SURFACE|REQ-055_ROOT_ALIAS_REFACTOR,db_upgrade_model,true,2,,190,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-051_MULTI_ROOT_MODEL.json,cargo test -p envctl-engine roots,envctl db roots --json lists META_ROOT(observed) + LIFE_OS_ROOT(release-target) with aliases,true,execution-framework/proof_records/REQ-051_MULTI_ROOT_MODEL.proof.json,execution-framework/heartbeats/REQ-051_MULTI_ROOT_MODEL.heartbeat,execution-framework/logs/REQ-051_MULTI_ROOT_MODEL.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R2,false,No blind $META_ROOT rewrite: target-root indirection + alias resolution.
REQ-052_FILE_INDEX,GH-414,05-envctl-db-upgrade,Scalable file index (DbFileRow),"Index repo/control-plane files via ignore::WalkBuilder respecting gitignore, targetable to narrow dirs; DbFileRow with content_hash, mutable_policy, protected/generated flags",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-052_file_index,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/catalog.rs,crates/engine/src/db_index.rs,DbFileRow index,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-050_DB_MODULE_SCAFFOLD,REQ-053_SYMBOL_INDEX|REQ-057_WATCH_INCREMENTAL,db_upgrade_index,true,2,,185,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-052_FILE_INDEX.json,cargo test -p envctl-engine db_index,envctl db scan --repo-root $META_ROOT --json returns DbFileRow set; narrow --scope honored,true,execution-framework/proof_records/REQ-052_FILE_INDEX.proof.json,execution-framework/heartbeats/REQ-052_FILE_INDEX.heartbeat,execution-framework/logs/REQ-052_FILE_INDEX.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R1,false,Do not scan giant unrelated dirs by default; respect .gitignore.
REQ-053_SYMBOL_INDEX,GH-414,05-envctl-db-upgrade,Symbol + occurrence index (DbSymbolRow/DbOccurrenceRow),"Index env-vars, path-tokens, Rust items (syn), CLI subcommands, hook/wrapper scripts, config keys as DbSymbolRow with DbOccurrenceRow replace_candidate/replace_policy",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-053_symbol_index,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_index.rs,crates/engine/src/db_symbols.rs,DbSymbolRow + DbOccurrenceRow index,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-052_FILE_INDEX,REQ-054_QUERY_SURFACE,db_upgrade_index,true,2,,180,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-053_SYMBOL_INDEX.json,cargo test -p envctl-engine db_symbols,envctl db symbols --kind env-var --name META_ROOT --json returns occurrences with byte spans,true,execution-framework/proof_records/REQ-053_SYMBOL_INDEX.proof.json,execution-framework/heartbeats/REQ-053_SYMBOL_INDEX.heartbeat,execution-framework/logs/REQ-053_SYMBOL_INDEX.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R1,false,syn for Rust symbols in-core; ast-grep/tree-sitter only as external managed components (no-C gate).
REQ-054_QUERY_SURFACE,GH-414,05-envctl-db-upgrade,Deterministic query surface + presets,"Minimal query language: table selection (files/symbols/occurrences/roots/refs/actions), filters (== contains in matches), agent presets (root:meta, root:lifeos, hooks:codex, wrappers:broken, mutable:unsafe, paths:legacy), --explain, --json",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-054_query_surface,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_symbols.rs,crates/engine/src/db_query.rs|crates/cli/src/main.rs,envctl db query command,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-053_SYMBOL_INDEX|REQ-051_MULTI_ROOT_MODEL,REQ-055_ROOT_ALIAS_REFACTOR|REQ-058_AGENT_JSON_CONTRACT|REQ-061_NU_PLUGIN_DB_SURFACE,db_upgrade_query,true,2,,175,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-054_QUERY_SURFACE.json,cargo test -p envctl-engine db_query,envctl db query --preset paths:legacy --json + --explain reports tables/filters used,true,execution-framework/proof_records/REQ-054_QUERY_SURFACE.proof.json,execution-framework/heartbeats/REQ-054_QUERY_SURFACE.heartbeat,execution-framework/logs/REQ-054_QUERY_SURFACE.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R1,false,No SQL clone; deterministic sort order.
REQ-055_ROOT_ALIAS_REFACTOR,GH-414,05-envctl-db-upgrade,Root-alias refactor planner (plan/render/apply),"envctl db map-root/refactor root-alias --from META_ROOT --to LIFE_OS_ROOT: build indexed snapshot, resolve token forms, emit similar-diff preview, --render-out new tree (never in place), --apply requires --confirm + approval",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-055_root_alias_refactor,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_query.rs,crates/engine/src/db_refactor.rs|crates/cli/src/main.rs,envctl db refactor root-alias command,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-054_QUERY_SURFACE|REQ-051_MULTI_ROOT_MODEL,REQ-056_DEPLOY_AUTOMATION|REQ-059_CLI_GUI_SHARED_ENGINE|REQ-061_NU_PLUGIN_DB_SURFACE,db_upgrade_refactor,true,1,,170,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-055_ROOT_ALIAS_REFACTOR.json,cargo test -p envctl-engine db_refactor,refactor --plan emits diff; --render-out writes NEW tree; --apply refuses without --confirm+approval,true,execution-framework/proof_records/REQ-055_ROOT_ALIAS_REFACTOR.proof.json,execution-framework/heartbeats/REQ-055_ROOT_ALIAS_REFACTOR.heartbeat,execution-framework/logs/REQ-055_ROOT_ALIAS_REFACTOR.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R3,true,R3: default dry-run; backup-before-clobber; atomic temp+rename; marker-block ownership only.
REQ-056_DEPLOY_AUTOMATION,GH-414,05-envctl-db-upgrade,Safe hook/deploy automation (plan/apply),"envctl db deploy hooks --target $LIFE_OS_ROOT --plan/--apply: install through envctl managed component system, detect running wrappers/hooks and queue/refuse unsafe overwrites, atomic promotion + rollback",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-056_deploy_automation,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_refactor.rs,crates/engine/src/db_deploy.rs|crates/cli/src/main.rs,envctl db deploy command,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-055_ROOT_ALIAS_REFACTOR,,db_upgrade_deploy,true,1,,160,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-056_DEPLOY_AUTOMATION.json,cargo test -p envctl-engine db_deploy,deploy --plan previews; --apply never overwrites an executing script without staged atomic promotion,true,execution-framework/proof_records/REQ-056_DEPLOY_AUTOMATION.proof.json,execution-framework/heartbeats/REQ-056_DEPLOY_AUTOMATION.heartbeat,execution-framework/logs/REQ-056_DEPLOY_AUTOMATION.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R3,true,No process disturbance; no user-global installs; fail-closed.
REQ-057_WATCH_INCREMENTAL,GH-414,05-envctl-db-upgrade,Incremental index invalidation (watch),envctl db watch --repo-root: notify-based incremental index invalidation with poll fallback and inotify-limit awareness,lane_b_repo_a,envctl-db-upgrade-agent,helper-req-057_watch_incremental,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_index.rs,crates/engine/src/db_index.rs|crates/cli/src/main.rs,envctl db watch command,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-052_FILE_INDEX,,db_upgrade_watch,true,2,,140,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-057_WATCH_INCREMENTAL.json,cargo test -p envctl-engine db_watch,watch invalidates only changed file rows; poll fallback documented,true,execution-framework/proof_records/REQ-057_WATCH_INCREMENTAL.proof.json,execution-framework/heartbeats/REQ-057_WATCH_INCREMENTAL.heartbeat,execution-framework/logs/REQ-057_WATCH_INCREMENTAL.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R2,false,Optional/poll fallback where useful; large-dir/inotify limits handled.
REQ-058_AGENT_JSON_CONTRACT,GH-414,05-envctl-db-upgrade,Stable agent --json contract,"Every db query/symbol/root/refactor/deploy command emits stable, documented --json; snapshot-tested machine output",lane_b_repo_a,envctl-db-upgrade-agent,helper-req-058_agent_json_contract,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_query.rs,crates/engine/src/db.rs|docs/*,documented stable --json schemas,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-054_QUERY_SURFACE,,db_upgrade_contract,true,2,,150,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-058_AGENT_JSON_CONTRACT.json,cargo test -p envctl-engine json_contract,json output snapshot-stable across the db command surface,true,execution-framework/proof_records/REQ-058_AGENT_JSON_CONTRACT.proof.json,execution-framework/heartbeats/REQ-058_AGENT_JSON_CONTRACT.heartbeat,execution-framework/logs/REQ-058_AGENT_JSON_CONTRACT.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R1,false,Agent-first: machine output is the primary contract.
REQ-059_CLI_GUI_SHARED_ENGINE,GH-414,05-envctl-db-upgrade,CLI + GUI share engine APIs,Ensure db query/refactor/deploy behavior lives in envctl-engine and both crates/cli and crates/gui call the same engine APIs (no cli/main.rs-only logic),lane_b_repo_a,envctl-db-upgrade-agent,helper-req-059_cli_gui_shared_engine,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/gui/**|crates/cli/src/main.rs,crates/gui/**|crates/cli/src/main.rs,shared engine API usage,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-054_QUERY_SURFACE|REQ-055_ROOT_ALIAS_REFACTOR,,db_upgrade_contract,true,2,,145,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-059_CLI_GUI_SHARED_ENGINE.json,cargo test --workspace,GUI and CLI exercise identical engine entry points in tests,true,execution-framework/proof_records/REQ-059_CLI_GUI_SHARED_ENGINE.proof.json,execution-framework/heartbeats/REQ-059_CLI_GUI_SHARED_ENGINE.heartbeat,execution-framework/logs/REQ-059_CLI_GUI_SHARED_ENGINE.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R2,false,Constraint #7: no behavior only in cli/src/main.rs.
