RV§11|Implement ATAS forecasting on isolated branches|ATAS (Agentic Temporal Attractor Studio) combines Echo-State Networks/reservoir computing, temporal strange attractors, coherence graphs, cut profiles, RuvLTRA temporal reasoning, RuVector temporal tensors, TimesFM, AgentDB episodes, RVF COW timelines, Ruflo ensembles, MinCut boundary isolation, and graph repair. Each forecast creates isolated future-timeline branches and ensemble simulations; actual outcomes return to the forecast record, update calibration, and train SONA/RL, preserving predicted-versus-observed history. Forecasts inform the decision gate and never self-promote a branch.|ruflo-ruvltra-atas|cow-branching,sona-rl|Forecast rows carry observation-linked calibration; no branch pointer change originates from ATAS
RV§12|Build flexnetos-redb-owner single-writer service|Implement the supervised `flexnetos-redb-owner` owning the only writable redb 4.1 handle (writable opener cannot coexist with a second read-only opener) and exposing versioned authenticated Unix-domain commands. It is one logical redb live plane with one mutation authority — not a competing database or HTTP service.|redb-state-plane|none|Second concurrent redb database-file open fails; owner socket authenticates and versions commands
RV§12|Publish atomically versioned read-only mmap projection|The owner publishes ui_projection as an atomically versioned read-only mmap region with mmap_projection_header (magic, format/schema revision, active slot, generation, local_seq, payload length, checksum, source transaction, PostgreSQL commit identity, witness reference) and two or more immutable mmap_projection_slot regions, building/verifying/fsyncing then atomically publishing without exposing partial snapshots, emitting an ordered event per published generation.|redb-state-plane|witness-chain|Reader validates header checksum/generation; no partial snapshot observable during publish
RV§12|Create owner-managed redb table layout|Implement tables: ingress_frame (sequence, request/hop, raw-byte object and ordered frame refs, validated typed envelope, plugin-protocol revision, identity, time, checksum, PostgreSQL commit key), operation_wal (intended transaction, idempotency key, attempt, retry schedule, ack, exact payload), ui_projection, semantic_cache, inference_dedupe, geometry_vector, plus retry, scratchpad, session, lease_mirror, materialization, execution_frame, and reconcile_cursor.|redb-state-plane|none|All named tables present with contracted fields
RV§12|Implement in-path geometry engine|The geometry engine executes vector-coordinate storage, Euclidean/L2, dot product, cosine distance/similarity, normalization, centroid, temporal delta, and SIMD-ready batch operations in the integrated application path for immediate UI/routing; the same coordinates and results are committed to RuVector columns.|redb-state-plane|postgres-ruvector-store|Geometry results in redb match committed RuVector column values
RV§12|Implement monotonic idempotent reconciliation and recovery|Owner reserves local sequence and commits the complete logical WAL record; publishes matching projection generation; envctl validates and executes the PostgreSQL transaction through the CodeDB mapping with a stable idempotency key; owner stores db transaction/LSN/generation/witness ack and republishes affected state; contiguous cursor advances; only acknowledged local projection may compact after canonical capture. Retries preserve every attempt/error; restart recovery validates contiguous sequence, rebuilds/republishes the mmap read model, replays from last acknowledged cursor, and treats a matching idempotency receipt as success.|redb-state-plane|envctl-committer-security,codedb-ingress|Kill/restart owner: cursor replays exactly; duplicate commits absorbed via idempotency receipt
RV§12|Benchmark commit-to-render latency|LifeOS verifies and reads the mapped generation from owner events (sequence, transaction, table/key scope, generation, active slot, checksum) and requests a fresh snapshot only on schema mismatch, missing generation, checksum failure, or recovery; mmap reads plus Unix-socket events replace HTTP server and PostgreSQL polling on the hot path. Commit-to-render latency must be benchmarked; sub-millisecond is an acceptance target, not an assumed guarantee.|glass-engine-frontdoor|redb-state-plane|Latency benchmark receipts stored; no HTTP live-state server and no PG polling on hot path
RV§13|Implement envctl four coupled paths|(1) Discovery/ingress: files/host state become Nushell tables, validated envctl rows, original byte objects, semantic records, and CodeDB transactions with originals immutable; (2) database synchronization: read/write canonical lifeos_coord.envctl_table and envctl_row generations under task, branch, identity, policy, lease, with local tables carrying database generation and witness identifiers; (3) projection/materialization; (4) security/activation via Secret Engine, Broker, Mint, Seed Vault, Cognitum Seed, Relay with atomic symlink activation and Yazelix/Zellij session-preserving reload, every effect returning to the database.|envctl-committer-security|postgres-ruvector-store,data-schema|envctl_row generations round-trip with witness identifiers; symlink activation preserves live Zellij session
RV§13|Generate all materialized configs with provenance markers|Database-selected rows generate bootstrap.nu, bootstrap.sh, Codex config fragments, MCP config, Yazelix settings, RTK config, GitKB references, meta manifests, runner environment, Rust/Fenix/Kache/wild environment, CUDA/NVIDIA environment, and database environment. Each generated object contains generator revision, source table/generation, checksum, timestamp, branch, witness, and do-not-edit marker.|envctl-committer-security|witness-chain|Every generated file header carries generator revision, source generation, checksum, and do-not-edit marker
RV§13|Build envctl with ruvector feature bundles|Enable the `ruvector` feature (ruvector-core/graph/ruvllm/RVF integration), `ruvector-pg` (PostgreSQL extension client with pg17), and `ruvector-cuda` (fused/CUDA inference) as authorized; envctl's redb 4.1 events, migrations, evidence, checkpoints, rollback, and sessions reconcile completely to PostgreSQL/RuVector.|envctl-committer-security|postgres-ruvector-store,redb-state-plane|envctl builds with these features; redb event log fully reconciled into PG
RV§14|Implement CodeDB BlobStore with PG/redb parity|The CodeDB BlobStore contract has PostgreSQL and redb implementations with differential round-trip behavior; it imports complete directory trees, file bytes, binaries, BOMs, symlinks, modes, paths, ownership metadata, source identity, checksums, and provenance; Cargo/static analysis and build capture add crates, workspaces, feature resolution, rustc/cargo messages, ASTs, symbols, types, dependencies, diagnostics, artifacts, and command exhaust.|codedb-ingress|redb-state-plane,postgres-ruvector-store|Redb/PostgreSQL parity: identical hashes, metadata, paths, modes, symlinks, BOMs, and binary reconstruction
