REL|Enforce zero-undeclared-loss operation completion|An operation completes only when source bytes/records are captured, identity/semantics/history/provenance preserved, each transformation links exact inputs and outputs, all tool/model/device/security/release evidence returns, and byte-level plus semantic verification proves zero undeclared loss.|byte-capture-reconciliation|codedb-ingress,postgres-ruvector-store|byte/semantic/provenance/effect equality gates; reconstruction of files/repos/crates/binaries/RVF containers from database state
REL|Implement database-gated release pipeline|Release begins with a database-selected branch and database-issued policy, task, grants, and lease; envctl projects worktree/config/Nix inputs; Nix and compilers produce the closure; flexnetos_runner executes every gate; PostgreSQL/RuVector accepts complete evidence and appends the release witness.|nix-release-gate|envctl-committer-security,postgres-ruvector-store,witness-chain|flexnetos_runner gate suite; release witness append; approval recorded in database
REL|Implement atomic activation with exact rollback|After database approval, envctl performs the atomic symlink flip and Yazelix/Zellij session-preserving reload; the prior activation remains an exact rollback target.|envctl-committer-security|nix-release-gate|activation flip test; rollback-target restoration; session-preserving reload check
R01|Migrate LifeOS Glass from Vue to Svelte|Current checkout (revision 3d741436) is Vue 3/Pinia/Vite + Tauri while Tauri/Svelte is the authority; Vue→Svelte is a release-blocking migration everywhere. R19 re-affirmed OPEN with package.json still "vue": "^3.5.34".|glass-svelte-migration|glass-engine-frontdoor|build closure rejects Vue entrypoint and proves Svelte target
R02|Build LifeOS PTY embedding of Yazelix Engine|No LifeOS PTY exists; `yzx enter` execs the pinned Zellij. Implement portable-pty 0.9.0, exact `yzx enter options ...` argv, database-derived session, and attach/detach/reconnect ownership.|glass-engine-frontdoor|glass-svelte-migration|frozen-closure exact-argv, PTY, resize, exit/signal, detach/reconnect tests
R03|Implement byte-preserving PTY transport with pins|Assign PTY byte arrays to ordered Tauri channels, xterm.js/WebGL to rendering, and small notices only to Tauri events; portable-pty 0.9.0 and xterm pins are mandatory (Tauri events are JSON and not high-throughput).|glass-engine-frontdoor|none|binary/UTF-8 split-frame equality, backpressure, render callback, resize, WebGL-fallback tests
R04|Restrict yazelix-terminal-support to metadata role|yazelix-terminal-support (rev a7ee555a) is metadata only and explicitly does not launch/render/compose/repair; LifeOS owns the PTY bridge.|glass-engine-frontdoor|none|architecture dependency test rejects it as launcher/renderer
R05|Build redb owner mmap projection publisher|redb 4.1 removed mmap, allows one writer, and a read-only opener cannot coexist with the writable opener. Implement the required lifecycle-independent owner (`flexnetos-redb-owner`) that publishes an atomic, checksummed, read-only mmap projection plus ordered UDS wakeups; LifeOS maps only that projection; projection format must be pinned.|redb-state-plane|none|single-opener denial; projection-format pin; atomic flip; mapped-byte/checksum parity; stale-reader; crash/gap/replay; no-HTTP; latency-SLO tests
R06|Restrict rtk to compaction and analytics|rtk (0.43.0, develop 44cf84e7) provides command-specific compact text filters and analytics, not universal JSON/Nuon/Nu translation; the pre-transform tee and structured envelope belong to the required rtk_nu.|rtk-rtk-nu-envelope|none|filter fixtures, failure tee, raw/compact linkage, binary-input tests; prove no universal JSON/Nuon claim
R07|Build, package, and pin rtk_nu adapter|rtk_nu existed nowhere on 2026-07-19; it is a new required separately packaged Rust/Nix adapter emitting versioned JSONL/JSON/Nuon envelopes with lossless base64 frames, digests, and ordering; activation blocked until exact repo/package/Nix-lock/schema pin and witness. R18: now implemented as rtk-tokenkill `src/rtk_nu_main.rs` (envelope flexnetos.rtk_nu.envelope.v1, crates rtk_nu and rtk_nu_test_fixture); invariant 16 gate not narrowed.|rtk-rtk-nu-envelope|nix-release-gate|package/revision/schema pin; binary, invalid-UTF-8, interleave, signal, parse-failure suite; raw equality; native-Nu bypass
R08|Enforce Nu-parse-before-plugin ordering|Insert `from json --objects`, `from json`, or `from nuon` before the nu_plugin_codedb child; native Nu bypasses RTK; MessagePack (MsgPackSerializer) is plugin protocol transport only, never described as redb encoding. R19 flags R08 unverified against nu_plugin @931d48f.|codedb-ingress|rtk-rtk-nu-envelope|isolated registration, protocol trace, native bypass, typed/raw linkage tests
R09|Implement codedb ingest-envelope typed command|Registered plugin commands use `Nothing` input with no ingest-envelope; the required `codedb ingest-envelope` typed input/receipt command and owner-client backend are release blockers. R17: implemented at nu_plugin @931d48f (crates/codedb/src/ingest.rs, schema codedb.ingest-envelope.v0, tagged ARCHBP-001); invariant 16 gate not narrowed.|codedb-ingress|redb-state-plane|command inventory/signature test; JSON, JSONL, Nuon, native-Nu end-to-end fixtures; raw-link; PG denial
R10|Withhold production PG-write credentials from CodeDB|codedb_store_pg is a direct PG store creating a possible bypass of envctl exclusivity; withhold production PG-write credentials from plugin/agent roles and limit the direct store to explicit bootstrap/parity/read/repair/migration grants.|envctl-committer-security|postgres-ruvector-store,codedb-ingress|database role/grant audit; negative direct-write test
R11|Implement envctl drain/embed/commit worker|envctl (rev 48368a97) lacks the complete drain/embed/PG loop; worker implementation is a release gate. envctl orchestrates the approved ruvllm/Candle embedding executor and exclusively invokes the CodeDB PG mapping; ONNX/ort is separately gated outside the default closure.|envctl-committer-security|redb-state-plane,ruvllm-agentdb-rvf-integration|idempotent drain/embed/commit/restart tests; vector provenance; capability-denial; crash/replay
R12|Enforce pre-transform byte tee and lineage|Derived views are lossy unless the tee precedes all transforms and preserves stream order; require immutable objects/frame order, digests, parser/filter revisions, exit/signal/timing records, and durable raw↔derived linkage.|byte-capture-reconciliation|rtk-rtk-nu-envelope,codedb-ingress|byte-equality corpus for success, failure, signal, binary, partial-line, interleaved streams
R13|Preserve logical trace alongside physical paths|Restore the exact ten-hop logical front-door trace (D05) while retaining eight convergent physical paths (D06–D12); Codex is mandatory on the agent-mediated front door but not every non-agent control.|glass-engine-frontdoor|codedb-ingress,redb-state-plane,envctl-committer-security|logical-hop order plus physical path-walk fixtures with identity/lease/branch/raw/local-seq/mmap-generation/commit/witness continuity
R14|Freeze pins for all new required components|rtk_nu, redb-owner, PTY/xterm, and ingest-envelope are required additions without existing pins; activation is explicitly blocked until every new package/lock/schema/witness coordinate is frozen.|nix-release-gate|rtk-rtk-nu-envelope,redb-state-plane,glass-engine-frontdoor,codedb-ingress|ref existence, lockfile closure, manifest path, source-byte import checks
R16|Apply authorization_context rename in migration SQL|PostgreSQL 17 grammar rejected the unquoted reserved column `authorization` in `lifeos_runtime.request` and both `ingest_event` definitions, blocking every later schema and release gate; column renamed to `authorization_context` with both insert-column lists updated while retaining the JSON envelope key `authorization`.|data-schema|postgres-ruvector-store|PostgreSQL grammar parse passes all six blocks (51, 103, 19, 6, 6, 100 statements); dollar-tag checks
R19|Re-review stale pins R08/R11/R12 and close R01|Pins are 4 days stale (nu_plugin 63d68743→931d48f, lifeos 3d741436→4707497, envctl on branch codex/profile-xdg-owner); R08/R11/R12 re-review scheduled as required work; R01 closes only when the Svelte target replaces the Vue entrypoint per its build-closure gate.|other|codedb-ingress,envctl-committer-security,glass-svelte-migration|re-review each named row against its current pinned revision
DOC|Implement files-to-tables-to-generated-files conversion|The permanent environment conversion is `files → Nushell tables → validated envctl tables → generated files`; after cutover each canonical table generation is a PostgreSQL row set surfaced through envctl; generated files are replaceable projections and originals remain evidence.|envctl-committer-security|postgres-ruvector-store,codedb-ingress|envctl table checksums and generated-file checksums verified at the runner gate
DOC|Persist durable cross-session memory in PostgreSQL projections|GitKB decisions/context/handoffs/repository knowledge/ledger links, meta repository/release/task/drift graphs, beads/br task atoms and dependencies, command ledger rows, handoff documents, and runner receipts live in PostgreSQL/RuVector projections; chat-session memory is disposable.|postgres-ruvector-store|envctl-committer-security|query all memory surfaces from PostgreSQL after restart/reconstruction
DOC|Implement runner release gate proofs|The runner gate proves clean-shell bootstrap, real login-session persistence, envctl table checksums, generated-file checksums, raw logs, absence of tracked raw secrets, meta repository-graph equality, GitKB/handoff update, release manifest, and the next backlog; no activation bypasses provenance.|nix-release-gate|envctl-committer-security,witness-chain|flexnetos_runner doctor/release check; proof manifest; clean shell/login tests
DOC|Stamp provenance on all generated outputs|Generated `bootstrap.nu`, `bootstrap.sh`, and Codex/MCP/Yazelix/RTK/GitKB/meta/runner/Rust/Fenix/Kache/wild/CUDA/NVIDIA/database outputs carry generator, source table, table checksum, timestamp, branch, witness, and do-not-edit provenance.|envctl-committer-security|witness-chain|inspect generated files for complete provenance headers
DOC|Keep Codex on official authentication only|Codex uses official ChatGPT authentication first; API-key execution disabled by default; browser/session-token workarounds, hidden mutations, and bulk rewrite scripts absent; manual changes reviewable, gated, recorded in the command ledger.|other|none|command ledger audit of manual changes
DOC|Keep RTK scoped with telemetry off and raw tee attached|RTK remains project/session scoped with telemetry off; compact summaries preserve cost while raw failure tee logs and original output remain attached; failures diagnosed from raw records.|rtk-rtk-nu-envelope|byte-capture-reconciliation|verify telemetry disabled; raw tee attachment on failures
DOC|Generate Yazelix configuration from database rows|Yazelix supplies the Nix-owned runtime (Nushell, Zellij, Yazi, Helix/Neovim, popups, widgets, Codex terminal workflow); envctl generates its controlled configuration from database rows.|envctl-committer-security|nix-release-gate|clean shell/login; session-preserving reload; config provenance check
DOC|Follow the numbered install/activation order|Components install in the integration table's numbered order (Nushell/Yazelix/Nix 2, PostgreSQL 3, RuVector extension 4, witness runtime 5, redb/envctl/secrets 6, CodeDB 7, Git surfaces 8, RuVector members/models 9, rtk/rtk_nu/ICM/weave 10, runners 11, network/hardware 12, LifeOS 13).|install-activation-order|none|activation blocked until prior steps verify; step-order audit
