source_table,task_id,prior_status,prior_claim,classification,evidence_uri,canonical_lifeos_owner,note
nu_plugin/execution/TASK_GRAPH.csv,CDB000,complete,Initialize execution package,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB001,complete,Create AI navigation graph,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB002,complete,Create readiness and stop gates,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB003,complete,Create task graph and task-file map,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB004,complete,Create command ledger and worklog,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB005,complete,"Generate manifest, checksums, link report",proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB006,complete,Write architecture document,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB007,complete,Write schema document,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB008,complete,Write command reference,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB009,complete,Write integration contracts,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB010,complete,Write security and unsafe capture policies,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB011,complete,Write compatibility bridge docs,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB012,complete,Write test and fixture matrix,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB013,planned,Create Rust workspace skeleton,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB014,planned,Implement codedb-core schemas,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB015,planned,Implement redb store init,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB016,planned,"Implement redb schema version, locks, backup, restore",proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB017,planned,Implement filesystem scanner,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB018,planned,Implement exact source metadata and blob policy,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB019,planned,Implement cargo metadata capture,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB020,planned,Implement Cargo source provenance capture,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB021,planned,Implement cfg/feature/target/toolchain context,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB022,planned,Implement static Rust item inventory,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB023,planned,Implement macro_rules static inventory,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
nu_plugin/execution/TASK_GRAPH.csv,CDB024,planned,Implement proc-macro static detection and gaps,proven-capability,"nu_plugin/crates/{codedb_core,codedb_store_redb,codedb_store_pg,codedb_mcp,codedb_build_capture,codedb_rust_static,codedb_cargo,codedb_context,nu_plugin_codedb}; nu_plugin/logs/CDB*.log + logs/CDB106-mandatory-security-backend-proof-wave.log (2026-07-11 PASS)",lifeos codedb store family (held for STORE-001),Implemented+tested; CSV status stale. Scout-verified against crates/logs.
