work_order_id,correlation_id,source_graph,source_graph_row,source_status,local_status,companion_gate_id,requirement_count,command_count,intent_lock_blake3
TASK-CDB000,CDB000,execution/TASK_GRAPH.csv,2,complete,review,GATE-CDB000,0,0,blake3:99d216b3b748d1a8b6ffa2712c4de1d44a6010600f6cff79f4af79661d958452
TASK-CDB001,CDB001,execution/TASK_GRAPH.csv,3,complete,review,GATE-CDB001,0,0,blake3:a6a103a23b5f0b5d95c5ac546bd78bfb5a615a381e621296a1668d6a91fcf6fe
TASK-CDB002,CDB002,execution/TASK_GRAPH.csv,4,complete,review,GATE-CDB002,0,0,blake3:fa774cded46a6b5ee50045e9e799cf1dd2765f70ece0f96df3f4f80173a3c3f5
TASK-CDB003,CDB003,execution/TASK_GRAPH.csv,5,complete,review,GATE-CDB003,0,0,blake3:77b658cc958a961bb5dc391bc4da90a2ed55cf207a32f7cbab519f076a37db62
TASK-CDB004,CDB004,execution/TASK_GRAPH.csv,6,complete,review,GATE-CDB004,0,0,blake3:0e3f66d416e80ee367f02901849d01c1e2143f7173316bed3b85d0939caade19
TASK-CDB005,CDB005,execution/TASK_GRAPH.csv,7,complete,review,GATE-CDB005,0,0,blake3:5df75ef14c42757c78e940d337fd97f9533e334a036965efede85fbabea24dd6
TASK-CDB006,CDB006,execution/TASK_GRAPH.csv,8,complete,review,GATE-CDB006,0,1,blake3:4d1c92d5497bfc8801b5a75951d1b04c585d873a1f5fe35d10d9f2193f835375
TASK-CDB007,CDB007,execution/TASK_GRAPH.csv,9,complete,review,GATE-CDB007,0,1,blake3:8a8be9568e1889364b0b56aaf144fc078c741f6735ee0501a9ac70c6ccb590bb
TASK-CDB008,CDB008,execution/TASK_GRAPH.csv,10,complete,review,GATE-CDB008,0,1,blake3:0342d9f7af8a2aa430cd31fb79e1c50fd32f784d6a0b6a3c322f402c876ce09d
TASK-CDB009,CDB009,execution/TASK_GRAPH.csv,11,complete,review,GATE-CDB009,0,1,blake3:f8a5245cd1d99234e756ba1ff5e00ff856d40e9f5d33da92e9b55eca4f5fc3e9
TASK-CDB010,CDB010,execution/TASK_GRAPH.csv,12,complete,review,GATE-CDB010,0,1,blake3:72c16151c21b02b4bee54ba16525aa6152f1dc5ff2ba58df88f0a1a374ac7304
