"capture_id","claim_id","classification","verification_status","confidence","installed_runtime_proven","node_authority_applied","evidence_count","conclusion","proof_uri"
"NBSOURCE-001","REDB-CLAIM-001","engine-fact","verified","99","TRUE","FALSE","6","redb 4.1.0 README and 196 passing upstream library/integration tests prove a pure-Rust embedded key-value library with no database daemon or sidecar. This verdict is about redb itself, not the larger dynamically linked LifeOS closure.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-002","engine-fact","refuted","100","TRUE","FALSE","6","Current pinned redb 4.1.0 removed its mmap backend. Its optimized file backend uses positioned file reads/writes, and Database exposes a configurable userspace cache (default 1 GiB). The report's current mmap and operating-system-cache-bypass statement is false.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-003","engine-fact","qualified","98","TRUE","FALSE","6","redb documents a zero-copy, BTreeMap-based API and can return borrowed views, but its Value trait explicitly serializes with as_bytes and deserializes with from_bytes. Storage uses copy-on-write B-trees, not std::collections::BTreeMap, so 'native Rust types without serialization' is too broad.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-004","engine-fact","verified","99","TRUE","FALSE","6","redb 4.1.0 documents full ACID transactions and serializable isolation; the complete local redb test suite passed 196 tests including immediate persistence, read isolation, transaction behavior, recovery-sensitive paths, and multithreading.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-005","engine-fact","verified","98","TRUE","FALSE","6","redb 4.1.0 documents MVCC with one writer and multiple concurrent snapshot readers; design documentation and passing concurrency tests prove readers do not block the active writer. Writer-to-writer concurrency remains serialized.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-006","engine-fact","verified","100","TRUE","FALSE","6","The pinned artifact is a Rust library crate linked into applications. It is not a compiler and exposes embedded database APIs.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-007","architecture-proposal","qualified","99","TRUE","FALSE","6","redb's Rust implementation is compatible with a musl/static target in principle, but portability is a whole-closure property. The active CodeDB/Yazelix binaries are dynamically linked glibc ELF files with Nix-store interpreter/RUNPATH entries, and the effective Rust toolchain lacked the musl std target, so the claimed portable closure is not currently proven.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-008","application-claim","refuted","100","TRUE","TRUE","8","redb 4.1.0 is a transactional key-value B-tree engine. It exposes no vector coordinate, geometry, nearest-neighbor, HNSW, or distance-computation API. The current Bun-loaded ruvector Node package owns vector geometry.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-009","application-claim","refuted","99","TRUE","TRUE","8","redb implements no cosine-similarity operation. Cosine is supplied by application or RuVector code; the Bun-loaded ruvector 0.2.34 package exports cosineSimilarity and native vector database APIs.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-010","performance-claim","refuted","100","TRUE","FALSE","6","The exact zero-copy-f32-plus-AVX-512 redb path does not exist in redb 4.1.0. A reproducible benchmark measured redb byte reads and commits plus a separate scalar application cosine loop at 384 and 4096 dimensions; microsecond results do not convert that application loop into redb functionality or prove AVX-512 use.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-011","component-boundary","verified","98","TRUE","FALSE","6","The component boundary is correct: embedding models create semantic vectors while redb passively stores and retrieves caller-supplied encoded values. Distance computation and semantic meaning remain external.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-012","engine-fact","verified","99","TRUE","FALSE","6","redb is an in-process single-node embedded store and exposes no network server, replication protocol, or distributed-consensus API. Distribution therefore belongs to application protocols.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-013","engine-fact","qualified","98","TRUE","FALSE","6","redb is key-value and has no SQL or automatic relational secondary-index facility. Qualification is required because it supports named tables, range scans, and multimap tables from which an application can explicitly build indexes.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-014","performance-claim","qualified","92","TRUE","FALSE","6","The local benchmark proves low redb latency on this workstation (1536-byte read p50 about 0.27 microseconds; Immediate commit p50 about 20-24 microseconds), but no claim-scoped LMDB comparator, edge-node hardware run, determinism definition, or crash/sync matrix exists. Competitive-with-LMDB remains unproved.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-015","architecture-proposal","qualified","96","TRUE","FALSE","6","redb can technically implement an embedded high-frequency scratchpad, and measured local operations are fast enough for that use class. No accepted LifeOS data-class, retention, privacy, promotion, or recovery decision makes this its current exclusive role.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-016","architecture-proposal","qualified","97","TRUE","FALSE","6","redb can store an embedding under a BLAKE3-derived key, so the mechanism is feasible. No current model-aware cache schema or implementation proves that content, model, version, configuration, invalidation, and collision handling are all covered.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-017","architecture-proposal","qualified","96","TRUE","FALSE","6","redb can back a durable application outbox or replay queue, but it is not PostgreSQL WAL and no current ordered/idempotent redb-to-PostgreSQL outage protocol is implemented. WAL, outbox, queue, buffer, and authority semantics must not be conflated.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-018","architecture-proposal","qualified","97","TRUE","FALSE","6","Current CodeDB Rust code can transform supported source files into structured syntax rows and Nushell can host those rows. It is not a universal Nushell-owned AST transformer: language coverage varies and Cargo dependency rows come from cargo metadata rather than the Rust AST.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-019","current-implementation-claim","refuted","99","TRUE","FALSE","6","At canonical nu_plugin origin/master 9451b20, the Rust plugin uses the Nushell MessagePack protocol but returns typed table values and has no direct redb dependency. Durable redb capture is a separate codedb CLI/BlobStore path, so no direct plugin-MessagePack-to-redb stream exists.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-020","architecture-proposal","qualified","97","TRUE","FALSE","6","An intermediate redb ingestion buffer is a technically possible target, but it is not the universal current role. Current CodeDB uses redb as a durable default source-blob store and envctl uses redb separately for migration/state; authority must be decided per data class.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-021","current-implementation-claim","refuted","100","TRUE","FALSE","6","envctl commit c911286 reads exported JSONL rows that already contain embedding_minilm vectors into an in-memory RuVector index. It neither pulls CodeDB redb blocks, generates MiniLM embeddings, nor commits code and vectors to PostgreSQL.","proof_records/NBVERIFY-001.proof.json"
"NBSOURCE-001","REDB-CLAIM-022","performance-claim","qualified","94","TRUE","TRUE","8","Reproducible local evidence supports the redb microsecond tier for the measured byte-read and Immediate-commit operations. No equivalent PostgreSQL-plus-RuVector relational/GNN benchmark was run, and Bun-loaded ruvector itself exposes native sub-millisecond vector operations, so the report's global microsecond-versus-millisecond boundary is not established.","proof_records/NBVERIFY-001.proof.json"
