"capture_id","claim_id","classification","verification_status","confidence","installed_runtime_proven","reused_prior_proof","evidence_count","conclusion","proof_uri"
"NBSOURCE-003","NUPG-CLAIM-001","architecture-proposal","qualified","99","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","The current CodeDB Nushell plugin is a Rust-native executable and the active source boundary is proven. Rust is an ecosystem implementation choice, not a Nushell protocol requirement, and the source's prescriptive 'should' is not an owner architecture decision.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-002","engine-fact","verified","100","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","nu_plugin_codedb at canonical origin/master 9451b20 calls serve_plugin with MsgPackSerializer. The pinned Nushell plugin framework and prior installed wire capture prove the shell/plugin protocol path uses MessagePack.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-003","comparison-claim","qualified","98","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","The pinned plugin protocol payload is MessagePack rather than JSON text, verified by source and wire capture. Qualification is required because CodeDB compatibility, import, export, metadata, and envctl-facing paths also use JSON; the no-JSON statement is true only at the plugin wire boundary.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-004","performance-claim","qualified","98","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","A reproducible 200-run, 1000-row benchmark in NBVERIFY-030-032 measured MessagePack materially faster and smaller than JSON for the pinned serializer. The current CodeDB SimplePluginCommand path still eagerly materializes input/output Values and does not prove zero-copy, bounded-memory, or direct streaming, so the full claim is too broad.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-005","current-implementation-claim","qualified","99","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","The FlexNetOS/nu_plugin repository contains a durable redb-backed codedb CLI/BlobStore with tests, but the nu_plugin_codedb binary itself has no redb dependency and returns Nushell Values. The repository works with redb; the plugin process does not directly persist to it.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-006","architecture-proposal","qualified","98","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","No new PostgreSQL plugin is necessary merely to add persistence because the existing CodeDB CLI already has a direct PgStore backend. That fact contradicts the source's redb-to-envctl rationale, and no owner decision has adopted the proposed indirect boundary.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-007","current-implementation-claim","refuted","100","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","Canonical nu_plugin origin/master does not buffer parsed code blocks from the plugin into redb. The separate codedb capture CLI stores raw relative-path/source-byte blobs through BlobStore; parsed syntax rows remain plugin output.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-008","current-implementation-claim","refuted","100","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","envctl c911286 has no automatic nu_plugin-redb-to-PostgreSQL synchronization bridge. Its default-off semantic adapter consumes exported JSONL rows that already contain embeddings and builds an in-memory RuVector index.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-009","current-implementation-claim","refuted","100","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","envctl does not permanently commit synchronized CodeDB blocks into PostgreSQL. Existing PostgreSQL writes belong to CodeDB's separate direct PgStore backend, which targets a dedicated table and is selected as an alternative to redb.","proof_records/NBVERIFY-003.proof.json"
"NBSOURCE-003","NUPG-CLAIM-010","source-provenance-claim","verified","100","TRUE","NBVERIFY-001; NBVERIFY-030-032","9","The exact 837-character NotebookLM fulltext contains markers [1], [2], [3], and [4] but no bibliography, identities, URLs, versions, or cited passages; the absent references verify none of the technical claims.","proof_records/NBVERIFY-003.proof.json"
