"depth_id","vision_anchor_ids","required_architecture_or_doctrine","phase_task_ids","coverage_status","decomposition_status","execution_gate","proof_uri"
"DEPTH-001","NS-WHOLE; NS-DIRECTION","LifeOS is the living company, personal, development, and home operating environment; David remains final authority.","LIFEOS-003; LIFEOS-007; LIFEOS-008; LIFEOS-009; LIFEOS-012","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-002","NS-DIRECTION; NS-PROGRESS","Human intent becomes a governed, simulated, executable, verified task graph ending in a proven next-action recommendation.","LIFEOS-003","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-003","NS-DIRECTION; NS-PROGRESS","Every meaningful action passes through identity, policy, memory, simulation, execution, proof, and rollback; no agent receives unlimited authority.","LIFEOS-003; LIFEOS-005; LIFEOS-012","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-004","NS-WHOLE","All valid peer capabilities converge physically and upgrade-only into one grown-up LifeOS application rather than remaining a permanently orchestrated fleet.","LIFEOS-001; LIFEOS-004","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-005","NS-EXTENSION; NS-WHOLE","The consolidated application is Rust-native, uses governed Lua policy surfaces, and runs on the portable confined Yazelix plus Nix foundation.","LIFEOS-002; LIFEOS-004","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-006","NS-PROGRESS","The first self-sustaining product vertical is governed financial and legal operation.","LIFEOS-006","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-007","NS-DIRECTION; NS-PROGRESS","The first build is the governed task-execution substrate required by every later LifeOS vertical.","LIFEOS-003","preserved-outside-north-star","task-families-present-existing-tables-pending-reconciliation","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-008","NS-DIRECTION; NS-PROGRESS","The shared task contract, witnessed proof authority, execution kernel, runtime integration, and mandatory human-approval gates converge without parallel competing types.","LIFEOS-003; LIFEOS-004","preserved-outside-north-star","task-families-present-existing-tables-pending-reconciliation","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-009","NS-WHOLE","Company, development, personal, and home capabilities become governed LifeOS domains over the same consolidated substrate.","LIFEOS-007; LIFEOS-008; LIFEOS-009","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-010","NS-CLARITY; NS-PROGRESS","Memory, failure learning, local inference and training, mesh compute and storage, communications, regenerative configuration, secrets, and network control form one governed intelligence substrate.","LIFEOS-005; LIFEOS-012","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
"DEPTH-011","NS-EXTENSION; NS-CLARITY","Desktop and later approved mobile, glasses, and ambient interfaces expose the same LifeOS state while the replaceable UI remains subordinate to the Rust-native substrate.","LIFEOS-010","preserved-outside-north-star","task-families-present-small-targets-pending","closed-until-full-graph","proof_records/LIFEOS-000.proof.json"
