id,phase,title,status,priority,owner_lane,path_scope,dependencies,acceptance_criteria,verification_command,proof_required,human_approval_required,risk_level,execution_cell,rollback_plan
TEASTASK-001,,Scaffold rvagent-engine crate implementing TaskRunner,backlog,P0,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine,,crate is a member of the rvAgent workspace family|cargo check -p rvagent-engine passes|cargo clippy -p rvagent-engine --all-targets -- -D warnings is clean|provides a stub impl of rvagent_a2a::TaskRunner (run + cancel),cargo clippy -p rvagent-engine --all-targets -- -D warnings,true,false,medium,dev-cell,git rm the new crate dir; revert the workspace Cargo.toml member addition
TEASTASK-009,,Heal the dual-workspace shadow (contradiction 9.4),backlog,P2,lane_f_consolidation,src/Cargo.toml|src/meta/Cargo.toml,,exactly one workspace owns each crate; no 'believes it's in a workspace' error|meta agent/ crate builds in-tree|no crate or capability dropped (superset),cargo check --workspace,true,true,high,dev-cell,restore both Cargo.toml files from git; no crates deleted
TEASTASK-002,,WorkOrder <-> TaskSpec anti-corruption adapter (seam S3),backlog,P0,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-001,WorkOrder -> TaskSpec -> WorkOrder round-trips losslessly|IntentLock (blake3: hashes) preserved across the round-trip|unit tests cover the mapping incl. status enum and priority,cargo test -p rvagent-engine adapter,true,false,medium,dev-cell,revert the adapter module; TEASTASK-001 stub remains
TEASTASK-003,,Canonical schemas -> Rust types via schemars (heal 9.1/9.2),backlog,P1,lane_b_schema,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-001,"WorkOrder and ProofRecord Rust types derive schemars::JsonSchema|emitted schema is byte-equal to the checked-in canonical schemas (drift gate)|CSV projection is generated from the type, not hand-maintained",cargo test -p rvagent-engine schema_roundtrip,true,false,medium,dev-cell,revert type module; canonical JSON schemas remain the contract
TEASTASK-005,,gitkb ready -> handoff claim selection wire (seam S2),backlog,P1,lane_c_selection,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-002,"given git-kb ready output, the top task maps to a WorkOrder id|hf claim acquires a single-holder lease (CAS)|conflict on an already-claimed task is refused, ledger untouched",cargo test -p rvagent-engine selection,true,false,medium,dev-cell,revert selection adapter; gitkb + hf remain independently usable
TEASTASK-006,,"prompt_hub ExecutionPlan -> WorkOrder emitter (seam S1, greenfield)",backlog,P1,lane_d_frontdoor,src/prompt_hub/prompt-hub/src,TEASTASK-003,an ExecutionPlan emits >=1 WorkOrder validating against task_graph.schema.json|dependencies derive from ExecutionStep.dependencies (toposort preserved)|emitted WorkOrders carry a computed IntentLock,cargo test -p prompt-hub taskgraph_emit,true,false,medium,dev-cell,revert the taskgraph module; prompt_hub vibe pipeline unaffected
TEASTASK-011,,Implement rvagent-engine::run to actually execute a WorkOrder (de-stub the runner),backlog,P0,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-002,"rvagent-engine::run executes the WorkOrder's work (not an echo) via rvagent-backends|the verification_command runs and its pass/fail is captured as the run verdict|a failing verification yields status failed with failure_reason, never Done|an integration test drives a trivial WorkOrder to a real Done",cargo test -p rvagent-engine run_executes,true,false,high,dev-cell,revert run() body to the stub; TEASTASK-001 scaffold remains
TEASTASK-004,,ProofRecord writer to the handoff witnessed ledger (seam S4),backlog,P0,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-002|TEASTASK-003|TEASTASK-011,a completed run appends a valid ProofRecord to the ledger|witness chain verifies after append (verify_witness_chain)|replay yields the correct latest status,cargo test -p rvagent-engine ledger_proof,true,false,high,proof-cell,"ledger is append-only; revert the writer code, leave prior events intact"
TEASTASK-007,,End-to-end proof: one WorkOrder through the unified loop (v1 success gate),backlog,P0,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine|src/prompt_hub/prompt-hub/src,TEASTASK-004|TEASTASK-005|TEASTASK-006,"one WorkOrder transitions Backlog -> ... -> Done via a REAL run (TEASTASK-011), not an echo|a ProofRecord for it verifies on the handoff ledger (witness chain)|gate refusals are enforced by their real owners: claim/lease by handoff-lease; network/drift/approval by handoff's fail-closed gate engine (handoff-drift/handoff-policy), not assumed|no Done without proof (ledger authority holds)",cargo test -p rvagent-engine e2e_one_workorder,true,true,high,proof-cell,test-only milestone; no production mutation; revert test harness if needed
TEASTASK-008,,Trajectory capture into sona ReasoningBank (seam S6 learning),backlog,P2,lane_e_learning,src/meta-ruvector/crates/rvAgent/rvagent-engine/src,TEASTASK-004,a completed run appends a Trajectory to the ReasoningBank|reward/verdict is recorded per step|recall returns the trajectory by semantic query,cargo test -p rvagent-engine trajectory,true,false,low,dev-cell,revert the sona wire; ReasoningBank untouched
TEASTASK-010,,Expose rvagent-engine task ops as MCP tools (rvagent-mcp registry),backlog,P2,lane_a_engine,src/meta-ruvector/crates/rvAgent/rvagent-engine/src|src/meta-ruvector/crates/rvAgent/rvagent-mcp/src,TEASTASK-004,MCP tools/list exposes the engine's task operations|tools/call submit->claim->run->proof works over stdio|parity with the hf-mcp surface for the shared operations,cargo test -p rvagent-engine mcp,true,false,medium,dev-cell,revert the MCP tool registrations; core engine unaffected
