record_id,requirement_id,parent_id,correlation_id,work_order_id,requirement,authoritative_source,source_reference,implementation_paths,test_paths,verification_command,proof_artifacts,proof_head_sha,evidence_status,source_status,local_status,notes,executable,source
REQUIREMENT-001,CDB013,CDB013,CDB013,TASK-CDB013,Create Rust workspace skeleton and make cargo metadata succeed,src/nu_plugin/execution/TASK_GRAPH.csv,CDB013,src/nu_plugin/Cargo.toml;src/nu_plugin/crates/codedb/Cargo.toml;src/nu_plugin/crates/codedb_build_capture/Cargo.toml;src/nu_plugin/crates/codedb_cargo/Cargo.toml;src/nu_plugin/crates/codedb_context/Cargo.toml;src/nu_plugin/crates/codedb_core/Cargo.toml;src/nu_plugin/crates/codedb_fixtures/Cargo.toml;src/nu_plugin/crates/codedb_mcp/Cargo.toml;src/nu_plugin/crates/codedb_rust_static/Cargo.toml;src/nu_plugin/crates/codedb_store_pg/Cargo.toml;src/nu_plugin/crates/codedb_store_redb/Cargo.toml;src/nu_plugin/crates/nu_plugin_codedb/Cargo.toml,src/nu_plugin/tests/test_workspace_manifest.py,python3 -m unittest tests.test_workspace_manifest && cargo metadata --format-version 1 --no-deps,stdout:cdb013-stdout;stderr:cdb013-stderr;file:cdb013-workspace-manifest:repository:Cargo.toml,,verified,complete,review,Three direct workspace mutation/contract tests and cargo metadata prove the exact eleven-member workspace.,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":2,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":1,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-002,CDB014,CDB014,CDB014,TASK-CDB014,Implement codedb-core schemas and pass unit tests,src/nu_plugin/execution/TASK_GRAPH.csv,CDB014,src/nu_plugin/crates/codedb_core/**,src/nu_plugin/crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb014-stdout;stderr:cdb014-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":3,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":2,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-003,CDB015,CDB015,CDB015,TASK-CDB015,Implement redb store initialization and metadata,src/nu_plugin/execution/TASK_GRAPH.csv,CDB015,src/nu_plugin/crates/codedb_store_redb/**,src/nu_plugin/crates/codedb_store_redb/**,cargo test -p codedb-store-redb,stdout:cdb015-stdout;stderr:cdb015-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":4,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":3,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-004,CDB016,CDB016,CDB016,TASK-CDB016,Implement redb schema version locks backup and restore,src/nu_plugin/execution/TASK_GRAPH.csv,CDB016,src/nu_plugin/crates/codedb_store_redb/**,src/nu_plugin/crates/codedb_store_redb/**,cargo test -p codedb-store-redb,stdout:cdb016-stdout;stderr:cdb016-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":5,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":4,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-005,CDB017,CDB017,CDB017,TASK-CDB017,Implement deterministic filesystem scanner rows,src/nu_plugin/execution/TASK_GRAPH.csv,CDB017,src/nu_plugin/crates/codedb_core/**,src/nu_plugin/crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb017-stdout;stderr:cdb017-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":6,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":5,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-006,CDB018,CDB018,CDB018,TASK-CDB018,Implement exact source metadata and blob policy with secret safety,src/nu_plugin/execution/TASK_GRAPH.csv,CDB018,src/nu_plugin/crates/codedb_core/**,src/nu_plugin/crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb018-stdout;stderr:cdb018-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":7,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":6,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-007,CDB019,CDB019,CDB019,TASK-CDB019,Implement Cargo metadata capture,src/nu_plugin/execution/TASK_GRAPH.csv,CDB019,src/nu_plugin/crates/codedb_cargo/**,src/nu_plugin/crates/codedb_cargo/**,cargo test -p codedb-cargo,stdout:cdb019-stdout;stderr:cdb019-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":8,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":7,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-008,CDB020,CDB020,CDB020,TASK-CDB020,Implement Cargo registry git and path source provenance,src/nu_plugin/execution/TASK_GRAPH.csv,CDB020,src/nu_plugin/crates/codedb_cargo/**,src/nu_plugin/crates/codedb_cargo/**,cargo test -p codedb-cargo,stdout:cdb020-stdout;stderr:cdb020-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":9,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":8,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-009,CDB021,CDB021,CDB021,TASK-CDB021,Implement deterministic cfg feature target and toolchain context,src/nu_plugin/execution/TASK_GRAPH.csv,CDB021,src/nu_plugin/crates/codedb_cargo/**;src/nu_plugin/crates/codedb_core/**,src/nu_plugin/crates/codedb_cargo/**,cargo test -p codedb-cargo -p codedb-core,stdout:cdb021-stdout;stderr:cdb021-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":10,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":9,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-010,CDB022,CDB022,CDB022,TASK-CDB022,Implement static Rust item inventory,src/nu_plugin/execution/TASK_GRAPH.csv,CDB022,src/nu_plugin/crates/codedb_rust_static/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb022-stdout;stderr:cdb022-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":11,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":10,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-011,CDB023,CDB023,CDB023,TASK-CDB023,Implement macro_rules static inventory without semantic overclaim,src/nu_plugin/execution/TASK_GRAPH.csv,CDB023,src/nu_plugin/crates/codedb_rust_static/**;src/nu_plugin/fixtures/macro_rules/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb023-stdout;stderr:cdb023-stderr,,verified,complete,review,Static coverage is not compiler-observed completion,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":12,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":11,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-012,CDB024,CDB024,CDB024,TASK-CDB024,Implement proc-macro static detection and explicit unresolved facts,src/nu_plugin/execution/TASK_GRAPH.csv,CDB024,src/nu_plugin/crates/codedb_rust_static/**;src/nu_plugin/fixtures/proc_macro/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb024-stdout;stderr:cdb024-stderr,,verified,complete,review,Static coverage is not executed proc-macro proof,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":13,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":12,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-013,CDB025,CDB025,CDB025,TASK-CDB025,Implement build.rs static detection and explicit unresolved facts,src/nu_plugin/execution/TASK_GRAPH.csv,CDB025,src/nu_plugin/crates/codedb_rust_static/**;src/nu_plugin/fixtures/build_script/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb025-stdout;stderr:cdb025-stderr,,verified,complete,review,Static coverage is not executed build-script proof,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":14,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":13,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-014,CDB026,CDB026,CDB026,TASK-CDB026,Implement static include and path edge detection,src/nu_plugin/execution/TASK_GRAPH.csv,CDB026,src/nu_plugin/crates/codedb_rust_static/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb026-stdout;stderr:cdb026-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":15,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":14,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-015,CDB027,CDB027,CDB027,TASK-CDB027,Implement native and linker static rows without dynamic overclaim,src/nu_plugin/execution/TASK_GRAPH.csv,CDB027,src/nu_plugin/crates/codedb_rust_static/**,src/nu_plugin/crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb027-stdout;stderr:cdb027-stderr,,verified,complete,review,Static coverage is not approved dynamic native-link proof,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":16,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":15,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-016,CDB028,CDB028,CDB028,TASK-CDB028,Implement clean and dirty repository no-mutation proof,src/nu_plugin/execution/TASK_GRAPH.csv,CDB028,src/nu_plugin/crates/codedb_core/**;src/nu_plugin/tests/test_no_mutation.nu,src/nu_plugin/tests/test_no_mutation.nu,nu --no-config-file tests/test_no_mutation.nu,stdout:cdb028-stdout;stderr:cdb028-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":17,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":16,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-017,CDB029,CDB029,CDB029,TASK-CDB029,Implement codedb scan export and schema CLI with JSON NUON and CSV,src/nu_plugin/execution/TASK_GRAPH.csv,CDB029,src/nu_plugin/crates/codedb/**,src/nu_plugin/crates/codedb/**,cargo test -p codedb,stdout:cdb029-stdout;stderr:cdb029-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":18,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":17,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-018,CDB030,CDB030,CDB030,TASK-CDB030,Implement Nushell plugin commands and table-shaped smoke proof,src/nu_plugin/execution/TASK_GRAPH.csv,CDB030,src/nu_plugin/crates/nu_plugin_codedb/**,src/nu_plugin/tests/test_transient_plugin.nu,nu --no-config-file tests/test_transient_plugin.nu,stdout:cdb030-stdout;stderr:cdb030-stderr,,verified,complete,review,Current-head transient Nushell plugin proof returns table-shaped output,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":19,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":18,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-019,CDB031,CDB031,CDB031,TASK-CDB031,Implement doctor checks for Nu Yazelix and Codex,src/nu_plugin/execution/TASK_GRAPH.csv,CDB031,src/nu_plugin/crates/codedb/**,src/nu_plugin/crates/codedb/**,cargo test -p codedb,stdout:cdb031-stdout;stderr:cdb031-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":20,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":19,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-020,CDB032,CDB032,CDB032,TASK-CDB032,Implement bounded read-only MCP page limit and source guards,src/nu_plugin/execution/TASK_GRAPH.csv,CDB032,src/nu_plugin/crates/codedb_mcp/**;src/nu_plugin/crates/codedb/src/main.rs,src/nu_plugin/tests/test_codex_bounded_bridge.nu,nu --no-config-file tests/test_codex_bounded_bridge.nu,stdout:cdb032-stdout;stderr:cdb032-stderr,,verified,complete,review,Current-head bounded MCP bridge proof verifies page limits and source guards,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":21,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":20,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-021,CDB033,CDB033,CDB033,TASK-CDB033,Implement unsafe dynamic capture refusal without explicit approval flag,src/nu_plugin/execution/TASK_GRAPH.csv,CDB033,src/nu_plugin/crates/codedb_build_capture/**,src/nu_plugin/tests/test_unsafe_capture.nu,nu --no-config-file tests/test_unsafe_capture.nu,stdout:cdb033-stdout;stderr:cdb033-stderr,,verified,complete,review,Refusal path alone does not prove positive capture,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":22,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":21,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-022,CDB034,CDB034,CDB034,TASK-CDB034,Implement mandatory approved build and proc-macro raw-log capture,src/nu_plugin/execution/TASK_GRAPH.csv,CDB034,src/nu_plugin/crates/codedb_build_capture/**;src/nu_plugin/fixtures/build_script/**;src/nu_plugin/fixtures/proc_macro/**,src/nu_plugin/crates/codedb_build_capture/**,cargo test -p codedb-build-capture,stdout:cdb034-stdout;stderr:cdb034-stderr,,verified,complete,review,The legacy word optional is interpreted as mandatory,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":23,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":22,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-023,CDB035,CDB035,CDB035,TASK-CDB035,Implement backend-neutral envctl export contract,src/nu_plugin/execution/TASK_GRAPH.csv,CDB035,src/nu_plugin/crates/codedb/**;src/nu_plugin/docs/ENVCTL_EXPORT_CONTRACT.md,src/nu_plugin/crates/codedb/**,cargo test -p codedb,stdout:cdb035-stdout;stderr:cdb035-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":24,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":23,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-024,CDB036,CDB036,CDB036,TASK-CDB036,Implement selected meta repository scan inputs without replacing meta ownership,src/nu_plugin/execution/TASK_GRAPH.csv,CDB036,src/nu_plugin/crates/codedb/**;src/nu_plugin/docs/META_INTEGRATION.md,src/nu_plugin/crates/codedb/**,cargo test -p codedb,stdout:cdb036-stdout;stderr:cdb036-stderr,,verified,complete,review,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities.",false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":25,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":24,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-025,CDB037,CDB037,CDB037,TASK-CDB037,Implement Codex CLI and MCP bridge contract with bounded output,src/nu_plugin/execution/TASK_GRAPH.csv,CDB037,src/nu_plugin/docs/CODEX_BRIDGE.md;src/nu_plugin/examples/codex/**,src/nu_plugin/tests/test_codex_bounded_bridge.nu,nu --no-config-file tests/test_codex_bounded_bridge.nu,stdout:cdb037-stdout;stderr:cdb037-stderr,,verified,complete,review,Current-head release proof verifies the bounded Codex CLI and MCP bridge contract,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":26,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":25,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
REQUIREMENT-026,CDB038,CDB038,CDB038,TASK-CDB038,Implement and document Yazelix host-runtime Nu placement,src/nu_plugin/execution/TASK_GRAPH.csv,CDB038,src/nu_plugin/tests/test_yazelix_enabled_smoke.nu,src/nu_plugin/tests/test_yazelix_enabled_smoke.nu,nu --no-config-file tests/test_yazelix_enabled_smoke.nu,stdout:cdb038-stdout;stderr:cdb038-stderr,,verified,complete,review,Current-head Yazelix smoke proof verifies host-runtime Nushell placement,false,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":27,""path"":""execution/REQUIREMENT_PROOF_LEDGER.csv"",""record"":26,""sha256"":""a233412242c26d08cc9d99e3b9d321c015f68a878ab0f4d0ef41d828c0998232""}"
