work_order_id,correlation_id,title,phase,source_status,status,repo_path,depends_on,blocks,companion_gate_ref,source_context,deterministic,allows_network,allows_dependency_install,allows_dependency_changes,proof_required,proof_uri,human_approval_required,verification_command,completion_gate,rollback_plan,intent_lock
TASK-CDB000,CDB000,Initialize execution package,package,complete,review,src/nu_plugin,,TASK-CDB001;TASK-CDB002;TASK-CDB003;TASK-CDB004,GATE-CDB000,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB000-package-init.log"",""src/nu_plugin/CODEDB_START_HERE.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB000-package-init.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""repo/source mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,all P0 docs listed,start file exists,Remove only the LifeOS review handoff for TASK-CDB000 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:99d216b3b748d1a8b6ffa2712c4de1d44a6010600f6cff79f4af79661d958452"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB001,CDB001,Create AI navigation graph,package,complete,review,src/nu_plugin,TASK-CDB000,TASK-CDB005,GATE-CDB001,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB001-navigation.log"",""src/nu_plugin/NAVIGATION.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB001-navigation.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""implementation edits"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,links validate,navigation file map complete,Remove only the LifeOS review handoff for TASK-CDB001 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:a6a103a23b5f0b5d95c5ac546bd78bfb5a615a381e621296a1668d6a91fcf6fe"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB002,CDB002,Create readiness and stop gates,package,complete,review,src/nu_plugin,TASK-CDB000,,GATE-CDB002,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB002-gates.log"",""src/nu_plugin/READINESS_GATE.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB002-gates.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""implementation edits"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,gate checklist covers task/prd/log/secret,no task can start without gate,Remove only the LifeOS review handoff for TASK-CDB002 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:fa774cded46a6b5ee50045e9e799cf1dd2765f70ece0f96df3f4f80173a3c3f5"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB003,CDB003,Create task graph and task-file map,package,complete,review,src/nu_plugin,TASK-CDB000,TASK-CDB005,GATE-CDB003,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB003-task-graph.log"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB003-task-graph.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""implementation edits"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,CSV parses and task IDs unique,task graph accepted,Remove only the LifeOS review handoff for TASK-CDB003 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:77b658cc958a961bb5dc391bc4da90a2ed55cf207a32f7cbab519f076a37db62"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB004,CDB004,Create command ledger and worklog,package,complete,review,src/nu_plugin,TASK-CDB000,TASK-CDB005,GATE-CDB004,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB004-ledger.log"",""src/nu_plugin/execution/COMMAND_LEDGER.csv""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB004-ledger.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""implementation edits"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,CSV parses with expected header,ledger initialized,Remove only the LifeOS review handoff for TASK-CDB004 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:0e3f66d416e80ee367f02901849d01c1e2143f7173316bed3b85d0939caade19"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB005,CDB005,"Generate manifest, checksums, link report",package,complete,review,src/nu_plugin,TASK-CDB001;TASK-CDB003;TASK-CDB004,TASK-CDB006;TASK-CDB064,GATE-CDB005,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L57-L98,L245-L254"",""evidence_paths"":[""src/nu_plugin/logs/CDB005-manifest.log"",""src/nu_plugin/manifests/PACK_MANIFEST.json""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":""Package scaffold already generated and verified; do not re-execute unless package hygiene fails."",""owner_surface"":""package"",""prd_sections"":""21"",""raw_log_paths"":[""src/nu_plugin/logs/CDB005-manifest.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""implementation edits"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,checksums match files and links pass,package integrity proven,Remove only the LifeOS review handoff for TASK-CDB005 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:5df75ef14c42757c78e940d337fd97f9533e334a036965efede85fbabea24dd6"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB006,CDB006,Write architecture document,docs,complete,review,src/nu_plugin,TASK-CDB005,TASK-CDB007;TASK-CDB008;TASK-CDB009;TASK-CDB010;TASK-CDB013,GATE-CDB006,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L122-L136,L356"",""evidence_paths"":[""src/nu_plugin/logs/CDB006-architecture.log"",""src/nu_plugin/docs/ARCHITECTURE.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv"",""src/nu_plugin/docs/ARCHITECTURE.md""],""notes"":""Completed in final execution package from canonical PRD; see docs/ and raw log path."",""owner_surface"":""docs"",""prd_sections"":""8,9"",""raw_log_paths"":[""src/nu_plugin/logs/CDB006-architecture.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""code mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,covers crates/data flow/runtime modes,architecture accepted,Remove only the LifeOS review handoff for TASK-CDB006 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:4d1c92d5497bfc8801b5a75951d1b04c585d873a1f5fe35d10d9f2193f835375"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB007,CDB007,Write schema document,docs,complete,review,src/nu_plugin,TASK-CDB006,TASK-CDB012;TASK-CDB014,GATE-CDB007,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L122-L136,L356"",""evidence_paths"":[""src/nu_plugin/logs/CDB007-schema.log"",""src/nu_plugin/docs/SCHEMA.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv"",""src/nu_plugin/docs/SCHEMA.md""],""notes"":""Completed in final execution package from canonical PRD; see docs/ and raw log path."",""owner_surface"":""docs"",""prd_sections"":""10,11,12"",""raw_log_paths"":[""src/nu_plugin/logs/CDB007-schema.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""code mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,table groups and IDs defined,schema accepted,Remove only the LifeOS review handoff for TASK-CDB007 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:8a8be9568e1889364b0b56aaf144fc078c741f6735ee0501a9ac70c6ccb590bb"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB008,CDB008,Write command reference,docs,complete,review,src/nu_plugin,TASK-CDB006,,GATE-CDB008,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L122-L136,L356"",""evidence_paths"":[""src/nu_plugin/logs/CDB008-commands.log"",""src/nu_plugin/docs/COMMANDS.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv"",""src/nu_plugin/docs/COMMANDS.md""],""notes"":""Completed in final execution package from canonical PRD; see docs/ and raw log path."",""owner_surface"":""docs"",""prd_sections"":""13"",""raw_log_paths"":[""src/nu_plugin/logs/CDB008-commands.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""code mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,CLI/Nu/MCP commands documented,commands accepted,Remove only the LifeOS review handoff for TASK-CDB008 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:0342d9f7af8a2aa430cd31fb79e1c50fd32f784d6a0b6a3c322f402c876ce09d"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB009,CDB009,Write integration contracts,docs,complete,review,src/nu_plugin,TASK-CDB006,TASK-CDB011;TASK-CDB040,GATE-CDB009,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L122-L136,L356"",""evidence_paths"":[""src/nu_plugin/logs/CDB009-integration.log"",""src/nu_plugin/docs/INTEGRATION_CONTRACTS.md""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv"",""src/nu_plugin/docs/INTEGRATION_CONTRACTS.md""],""notes"":""Completed in final execution package from canonical PRD; see docs/ and raw log path."",""owner_surface"":""docs"",""prd_sections"":""16"",""raw_log_paths"":[""src/nu_plugin/logs/CDB009-integration.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""code mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#1-package-navigation-and-launch-gates""}",true,false,false,false,true,,true,Codex/Yazelix/meta/envctl/runner covered,integration accepted,Remove only the LifeOS review handoff for TASK-CDB009 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:f8a5245cd1d99234e756ba1ff5e00ff856d40e9f5d33da92e9b55eca4f5fc3e9"",""schema"":""lifeos.intent-lock.v1""}"
