source_table,task_id,prior_status,prior_claim,classification,proof_class,evidence_uri,canonical_lifeos_owner,note
envctl/migration-package/task_graph.csv,EF-001_SCAN_PACKAGE,pending,Scan source package,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-002_GAP_REPORT,pending,Generate execution gap report,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-003_APPLY_FRAMEWORK,pending,Apply execution framework files,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-004_GENERATE_TASK_GRAPH,pending,Generate task graph,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-005_VALIDATE_TASK_GRAPH,pending,Validate task graph,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-006_TASK_GRAPH_TO_PACKETS,pending,Generate JSON execution packets,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-007_GOAL_LOOP,pending,Run /goal loop,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,EF-008_VERIFY_HISTORY_COMPLETENESS,pending,Final history and completeness verification,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Execution-framework tooling task (scan/gap/generate/validate). Package artifact exists (proof_records EF-004/005/006) — package proof, not envctl product capability."
envctl/migration-package/task_graph.csv,REQ-010_CONTRACT_LOCK,pending,Lock migration artifact contract,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-020_ENVCTL_DB_SCHEMA,pending,Implement envctl database migration tables,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
